title,description
Trudeau staunchly defends Zelenskyy as London summit on European security wraps up,Prime Minister Justin Trudeau clearly signalled his view today that Russian President Vladimir Putin cannot be trusted to keep his word on any agreement to end ...
'Canada is not a given' says Trudeau in farewell speech touching on Trump threats,"Prime Minister Justin Trudeau said that freedom, democracy and Canada ""are not a given"" in his farewell speech to Liberals just before former Bank of Canada gov..."
Trudeau government made dozens of appointments after announcing he'd resign,Prime Minister Justin Trudeau's government has stacked agencies and Crown corporations with dozens of
DC Edit | Trudeau quits under a cloud; but crisis with India not over,"Justin Trudeau faces political downfall as economic woes, immigration backlash, and India tensions erode his support"
"Freeland's letter didn't mention gender, but Trudeau faces 'phony feminism' attacks anyway",Prime Minister Justin Trudeau's working relationships with women have been part of the conversation around his politics for more than a decade. After Chrystia F...
‘Nothing is off the table’: Trudeau on US tariff threats,Rest of World News: Canada will consider every kind of countermeasure if US President-elect Trump goes ahead with a threat to impose a 25% tariff on Canadian im...
Trudeau blasts Trump's 'very dumb' trade war,"Retaliatory measures have been announced by America's largest trading partners following Trump's tariffs on Canada, Mexico and China"
Trudeau finally addresses Freeland's shocking resignation. Here's what Canada's PM said,Tuesday’s speech was the first time Trudeau has said anything publicly about Chrystia Freeland's shocking resignation.
"Dead party walking: Freeland quits, Trudeau clings to power","Chrystia Freeland has resigned as finance minister amid bitter feud with Trudeau, setting the stage for an intra-party war as Trump tariffs loom on the horizon."
Trudeau announces 25 percent tariffs in response to Trump order,OTTAWA: Canadian Prime Minister Justin Trudeau said on Saturday Canada would impose 25 percent tariffs on C$155 billion ($106.5 billion) of U.S. goods in respon...
Trudeau travelling to Lisbon to attend the Aga Khan’s funeral,Prime Minister Justin Trudeau is flying to Lisbon on Friday to attend the Aga Khan's funeral.
Here's what Trudeau is doing today amid calls for resignation,"In Ottawa, Trudeau continues to face pressure to step down as Liberal leader after Chrystia Freeland's decision to quit last month."
Trudeau announces tariffs on U.S. in retaliation for Trump's tariffs,"Canada will retaliate against President Donald Trump's new tariffs by imposing 25% tariffs on U.S. goods from drinks to appliances, Prime Minister Justin Trudea..."
Canada's Trudeau survives third no-confidence vote,"Canadian Prime Minister Justin Trudeau's government on Monday survived a third vote of no confidence in as many months, brought by his main Tory rival. The mino..."
"Canada PM Trudeau is likely to announce resignation, source says","An increasing number of Liberal parliamentarians, alarmed by a series of gloomy polls, have publicly urged Trudeau to quit."
Trump Mocks Trudeau After Canadian Leader’s Ominous Warning,Canada’s Justin Trudeau had a serious message for Donald Trump on his tariff plan.
"Faced with turmoil, a defiant Trudeau hangs on - for now","As the longest serving G7 leader, the Canadian prime minister has weathered many storms. But this time might be different."
"Justin Trudeau Feels ‘Ambushed’ by Katy Perry Dating Rumors, Says Source","Justin Trudeau and Katy Perry’s dating rumors have been taking the internet by storm, especially after the pair dined together in Montreal."
"Katy Perry & Justin Trudeau Don’t Mind the Dating Rumors, Says Source","Dating rumors surrounding Katy Perry and Justin Trudeau have surged recently, but sources claim that the two are not dating yet."
Trudeau to attend cabinet committee meeting on Trump tariff threat - National,The committee meets as Donald Trump's Jan. 20 inauguration quickly approaches. Trump promised to enact 25 per cent tariffs on Canadian and Mexican imports
Canadian PM Trudeau likely to resign this week: report,"Announcement to come before national Liberal Party caucus on Wednesday, according to sources."
Trudeau meets with Biden and other leaders at G20,The meeting will take place a day after The Associated Press reported that Biden has authorized Ukraine to use U.S.-supplied long-range missiles to strike deepe...
Letters: A just ending for Justin Trudeau,"Readers comment on the PM's resignation, Trump's threats to annex Canada, the GG's prorogation of Parliament, and more"
Justin Trudeau Net Worth 2025: How Much Money Does He Make?,"Justin Trudeau’s 2025 net worth reflects his political career, inheritance, and investments after stepping down as Prime Minister."
Trudeau in trouble as ally vows to 'bring him down',"The future of Canadian Prime Minister Justin Trudeau's leadership appears increasingly uncertain after New Democratic Party (NDP) leader Jagmeet Singh, a key al..."
Michael Higgins: Trudeau dances as Montreal burns,"It took Trudeau until noon Saturday to address the Montreal riot, and his statement didn't even hint that the Liberals might do something."
Trump trolls Trudeau again as Canadian PM considers resignation,"WASHINGTON: US President-elect Donald Trump has once again referred to Canadian Prime Minister Justin Trudeau as ""governor"" following the unexpected resignation..."
Terry Newman: Trudeau puts Canada last,"Canada is facing an unprecedented economic crisis, and the Liberals can't be bothered to show up to work"
"Not Justin Trudeau? Prove It, Mark Carney — On Climate","Canadians have been fed a steady diet of climate noise — photo-ops, grand announcements, and lofty targets — none of which have translated into serious emis..."
Tom Mulcair: Is Justin Trudeau just playing out the clock?,"Former NDP leader Tom Mulcair says Canada is facing critical issues that need an active, engaged federal government right now; but Prime Minister Trudeau seems ..."
Katy Perry Dines On Lobster And Cocktails With… Justin Trudeau,Katy Perry shocked fans and political observers alike after she was spotted dining with former Canadian Prime Minister Justin Trudeau in Montreal.
N.S. Liberal MP praises Trudeau for plans to step down,Prime Minister Justin Trudeau says he'll go as soon as the party can choose a successor. Sean Fraser says he's glad Trudeau is leaving of his own volition. Watc...
When Justin Trudeau Turned Into An Action Hero For Marvel Comics,"In 2016, Justin Trudeau was featured as an action hero in Marvel Comics’ ‘Civil War II: Choosing Sides’."
Terry Newman: 'Governor Trudeau' deserves Trump's trolling,Trudeau poisoned the well with Trump long ago
Katy Perry and Justin Trudeau pictured holding hands at Paris event,"The pop singer and former Canadian prime minister were pictured over the weekend, fueling relationship speculation."
NP View: Trudeau only ever cared about himself,"For nine years, he has privileged his own interests above all else"
Trudeau and Perry go public with first appearance as couple,The public outing marks a new chapter in a relationship that has been the subject of speculation for months.
Make Canada a state of US: Trump mocks Trudeau,"United States President-elect Donald Trump took a jab at Canadian Prime Minister Justin Trudeau on the social media platform Truth Social, describing him as the..."
What happens now that Trudeau resigns as Canada's prime minister?,"Canadian Prime Minister Justin Trudeau on Monday said he would step down in the coming months after nine years in power, bowing to pressure from lawmakers alarm..."
Trudeau attending U.S. relations cabinet committee meeting amid calls for resignation,Prime Minister Justin Trudeau is taking part in a virtual meeting of the Canada-U.S. relations cabinet committee.
Katy Perry and Justin Trudeau Are Dating?,Katy Perry and Justin Trudeau are rumored to be dating after they were spotted having dinner together in Montreal.
"Trudeau, Carney push back over Trump's ongoing 51st state comments","Two senior members of the federal cabinet were in Florida Friday pushing Canada's new border plan with Donald Trump's transition team, a day after Trudeau himse..."
Justin Trudeau says Trump's ambition to annex Canada is 'real',Trump on Monday agreed to a 30-day pause on threats to impose 25% tariffs on imports from Mexico and Canada.
"Trudeau resigns, Trump renews offer to make Canada 51st US state","US President-elect Donald Trump has renewed his offer to make Canada the 51st state of the United States, hours after Canadian Prime Minister Justin Trudeau res..."
Trudeau says Canada will push back on ‘unacceptable’ U.S. tariffs - National,Prime Minister Justin Trudeau says Ottawa will work to convince U.S. President Donald Trump that his steel and aluminum tariffs will hurt both countries.
"Katy Perry, Justin Trudeau seen kissing on Yacht, confirm dating rumours","Popstar Katy Perry and former Canadian Prime Minister Justin Trudeau were spotted kissing on a yacht in California, seemingly confirming dating rumours. The vir..."
Will Trudeau resign? Four paths Canada's prime minister could take,A shock high-profile resignation has forced Canada's prime minister to contend with his plummeting popularity.
Sophie Trudeau Talks Love as Justin and Katy Perry's Romance Grows,Sophie Gregoire Trudeau opened up about grief and moving forward as ex-husband Justin Trudeau and Katy Perry's romance gains attention
Trudeau to shuffle cabinet Friday after Freeland’s resignation: sources - National,"Prime Minister Justin Trudeau will gather new cabinet appointees at Rideau Hall Friday morning to be sworn into their new positions, two sources told Global New..."
Canada's Prime Minister Justin Trudeau resigns as Liberal Party leader,Trudeau has been battling waning popularity and the specter of U.S. trade tariffs.
Trudeau says Canada will respond firmly to 'unacceptable' U.S. tariffs,"Prime Minister Justin Trudeau says Canada's response to the Trump administration's threatened 25 per cent tariffs on steel and aluminum will be clear and firm, ..."
Canadian PM Justin Trudeau to resign: What happens now?,"Canada's parliament will be suspended until 24 March while a new Liberal Party leader is chosen, Justin Trudeau said."
Most Liberals in caucus want Trudeau to go: MP,Longtime Trudeau loyalist Chandra Arya says it’s time for the prime minister to step aside — and he believes the majority of Liberals in caucus feel the sam...
Top Trudeau Ally Chrystia Freeland Resigns from Canadian Government,"Canadian Finance Minister Chrystia Freeland, Prime Minister Justin Trudeau's most powerful minister, announced Monday she was resigning."
Ex-central banker to replace Trudeau as Canada PM,"Carney defeated former cabinet minister Karina Gould, former finance minister and deputy prime minister Chrystia Freeland, and Businessman and former Liberal MP..."
Trudeau bites the dust – Winnipeg Free Press,"Breaking News, Sports, Manitoba, Canada"
"Trump calls Trudeau governor of ""great state of Canada""",Trump admitted on the weekend he can't guarantee the threatened tariffs won't raise prices for American consumers.
'What the Hell Kind of Shoes Does Trudeau Have On?',"Looks like every day is Casual Friday for Justin Trudeau now that he's no longer prime minister of Canada, as evidenced by what he opted to wear to King Charles..."
"Quebec Liberal caucus calling for Trudeau to resign, adding to pressure","The Liberal Party's Quebec caucus has joined the Atlantic and Ontario caucuses in calling on Justin Trudeau to resign, Global News has learned."
Canada's Trudeau Promises Trump 'Tougher Border Controls' During Florida Meet,"Canadian Prime Minister Justin Trudeau promised President-elect Donald Trump that Canada would toughen controls over the long undefended joint border, a senior ..."
Vacationing Trudeau can't escape catcalls and mockery: 'Get out of B.C.',Ski vacations used to go great for Prime Minister Justin Trudeau. Not this one. He was told to 'Please get the f--k out of B.C'
"Pierre Trudeau really, really loved communists | Canada Did What?!","He covered up famines for Red China, and wasn't all that pleased with Ukrainian independence"
Justin Trudeau Kissed a Girl and He Liked It!?,Justin Trudeau and Katy Perry are stirring up rumors of a summer romance. What's the truth?
Diplo Claims He Dated Both Katy Perry & Justin Trudeau,Diplo says he kissed Katy Perry's guy and he kinda liked it ... claiming he dated both Perry and former Canadian Prime Minister Justin Trudeau -- though it seem...
Trudeau calls idea of banning Trump from Canada ‘irresponsible’,"Breaking News, Sports, Manitoba, Canada"
Prime Minister Justin Trudeau will shuffle his cabinet tomorrow,A government source confirms a swearing-in ceremony will take place at Rideau Hall.
Prime Minister Trudeau meets Donald Trump at Mar-a-Lago,"Prime Minister Justin Trudeau landed in West Palm Beach, Fla., on Friday evening to meet with U.S.-president elect Donald Trump at Mar-a-Lago, sources confirm t..."
Justin Trudeau,"A source revealed all the details on Justin Trudeau and Katy Perry's date—including how they met, what they talked about, and future plans."
Katy Perry and Justin Trudeau spotted sharing a meal in Montreal,Katy Perry is currently on the Canadian leg of her Lifetimes tour.
"Trudeau exaggerated Nijjar murder, appeased Sikh extremists: Ex-Pentagon official",Former Pentagon official Michael Rubin slammed ex-Canadian PM Justin Trudeau over his blame-game on India over the killing of Khalistani terrorist Hardeep Singh...
Pro-Khalistan leader Jagmeet Singh vows to bring down Justin Trudeau government,Jagmeet Singh vowed to bring down Trudeau with Deputy Prime Minister and Finance Minister Chrystia Freeland’s resignation already having brought significant h...
Diplo: I Used to Date Katy Perry AND Justin Trudeau,"Diplo once dated Katy Perry, and abruptly announced on a podcast that he also once dated former PM Justin Trudeau. Is ... is he serious?"
Canadian PM Trudeau expected to announce resignation in coming days: report,Any decision would come amid a caucus revolt and dismal public opinion polls that show his party would likely lose in a landslide to the rival Conservatives.
"Trudeau Meets King Charles, with Trump’s ’51st State’ Comments at the Fore",Outgoing Canadian Prime Minister Justin Trudeau met with King Charles III in London on Monday.
Justin Trudeau Reveals the Comeback That Shut Down Trump’s ‘51st State’ Chatter,Justin Trudeau has revealed the quip that silenced Donald Trump’s taunting that Canada should become the “51st state” during his visit to Mar-a-Lago last ...
Amy Hamm: Trudeau is the furthest thing from a feminist,Women’s progress is under attack everywhere — and it is because of leaders like him
Are Katy Perry & Justin Trudeau Dating? Go Behind the Rumors,Katy Perry and Justin Trudeau sparked dating rumors in July 2025 after they were seen on a dinner date. Find out the nature of their relationship.
Watch live: Justin Trudeau delivers remarks on U.S. tariffs,Watch live coverage as Canadian Prime Minister Justin Trudeau delivers remarks on the U.S. tariffs and how Canada will respond to President Trump's policy.
Canada Deputy PM Resigns Over Tariff Rift With Justin Trudeau,Canada's Deputy Prime Minister Chrystia Freeland quit Monday in a surprise move after disagreeing with Justin Trudeau over US President-elect Donald Trump's tar...
Trudeau to appoint new senators before successor is chosen - National,"The prorogation of Parliament doesn't prevent the appointment of new senators, and the Prime Minister's Office says the selection process is underway."
Trump wants Canada’s economy to ‘collapse’ to make annexation ‘easier’: Trudeau,Trudeau warns of Trump's tariffs to destroy Canada's economy for easier annexation by the United States.
What happens next for Canada as Trudeau resigns?,Trudeau said he will step aside as Prime Minister and Liberal leader. What does that mean for the country?
‘No way in hell’ Trump’s getting Canada – Trudeau,Prime Minister Justin Trudeau has said Canada will never become a US state
‘No way in hell’ Trump’s getting Canada – Trudeau,Prime Minister Justin Trudeau has said Canada will never become a US state
How Justin Trudeau lost Canada,"In his nine-plus years as prime minister Justin Trudeau has unwittingly seeded a slow-moving national unity crisis. Now, it will be up to his successor to addre..."
Canadian PM Trudeau likely to resign this week: report,"Canadian Prime Minister Justin Trudeau is likely to announce his resignation this week as he faces mounting dissent within his Liberal Party, newspaper The Glob..."
'It was the right decision': Quebec politicians react to Trudeau resignation,Elected officials in Quebec were quick to react to the major announcement in Ottawa Monday about Prime Minister Justin Trudeau and the path forward for the fede...
Trudeau says Trump's Canada annexation threat 'a real thing',"Prime Minister Justin Trudeau told an economic summit Friday that President Donald Trump is serious about annexing Canada to access its natural resources, as hi..."
Katy Perry and Justin Trudeau Pack on PDA During Yacht Outing,Katy Perry and Justin Trudeau were spotted kissing and cuddling on a yacht near Santa Barbara following her split from Orlando Bloom in June
"Canada's Justin Trudeau faces internal revolt, calls for resignation grow",Rest of World News: Canadian Prime Minister Justin Trudeau faces mounting pressure to resign amid dwindling support within the Liberal Party. Following Deputy P...
Biden says 'the world is better off' because of Trudeau,"U.S. President Joe Biden has issued a glowing review of Prime Minister Justin Trudeau's time in office, describing him as a man who left the world, the continen..."
Katy Perry & Justin Trudeau Don’t Share the Same Feelings — Source,Katy Perry is reportedly far more invested in her rumored romance with Justin Trudeau than the ex-Canadian prime minister is.
"How does Canada define itself? 'We're not Americans,' Trudeau tells CNN",Prime Minister Justin Trudeau said Donald Trump's repeated digs about Canada becoming the 51st state are a distraction.
Will Justin Trudeau become first victim of Trump's tariff war?,US News: Canadian Deputy PM Chrystia Freeland's shocking resignation throws Prime Minister Justin Trudeau's government into turmoil amidst economic woes and US
"Canada's Justin Trudeau responds to Donald Trump's '51st state' jibe, calls him...",Trudeau called the comments a “distraction tactic” and emphasised Canadians' pride in their national identity
Washington views Canada’s PM Trudeau as ‘stalwart friend’ of US — official,"White House Press Secretary Karine Jean-Pierre added that the US would ""stand with"" all people of Canada as they elected a new leader"
Race begins to replace Canadian PM Trudeau,"The race to be Canadian Prime Minister Justin Trudeau's successor kicked off on Tuesday, a day after he resigned amid a looming trade war with the United States..."
Trudeau expected to outline Canada’s response to Trump’s tariffs,Prime Minister Justin Trudeau is expected to take questions later this morning about how Canada will respond in the face of sweeping tariffs imposed by U.S. Pre...
Canada's Justin Trudeau Breaks Down On Camera During Farewell Speech,The glimpses of a teared-up Justin Trudeau marks one of his final moments as the Prime Minister of Canada before his Liberal Party chooses a new successor to ri...
Canada’s Trudeau Announces Intention to Resign as Prime Minister,"If elections were held today, the opposition Conservative Party would almost certainly take office."
Trudeau announces tariff deal with Trump,Canadian Prime Minister Justin Trudeau has confirmed duties suspension for at least 30 days
Katy Perry & Justin Trudeau Take Next Big Step in Relationship — Source,Katy Perry and Justin Trudeau are reportedly planning to spend a romantic time together during the Christmas holiday.
Canada PM Justin Trudeau could resign today…,The sheen has rubbed off the Prince Charming of international politics with predictions that he will resign today. From the Guardian: The Globe and Mail newspap...
"Trudeau, Biden discuss rule of law at Brazil G20 summit","Prime Minister Justin Trudeau spent his first day at the G20 leaders' summit Monday speaking in closed-door meetings about issues like continental trade, fighti..."
Trudeau inviting premiers to Ottawa as Trump inauguration looms,Prime Minister Justin Trudeau is inviting provincial and territorial premiers to Ottawa next Wednesday to discuss Canada-U.S. relations.
Trudeau has prorogued Parliament. Here’s what that means - National,Prime Minister Justin Trudeau said Gov. Gen. Mary Simon has agreed with his request to prorogue Parliament until March 24 as the Liberals hold a contest to repl...
Trudeau trolls Trump after Canada bests USA at hockey,Canadian Prime Minister Justin Trudeau took a jab at President Trump after Canada's victory over the United States in an international hockey tournament.
Trudeau Quits: Canada faces political uncertainty and leadership change,Forty-three-year-old Trudeau’s positive political message and energetic personality had helped the Liberals win a historic majority in Parliament in 2015.
"""Doonesbury"" cartoonist Garry Trudeau",In a first for
Canada’s Justin Trudeau resigns,The resignation of Justin Trudeau comes amid the worst political crisis of his nine-year term as Canada’s prime minister
Trudeau finished,"Canadian PM Justin Trudeau is finished - either this week, or at the election. Any tiny chance of victory has disappeared with the dramatic resignation of not j..."
Canada's Trudeau announces resignation,Canadian Prime Minister Justin Trudeau is stepping down after nearly a decade in office
Justin Trudeau Might Be the Only One Who Still Believes in Justin Trudeau,When stubbornness becomes a political strategy
Trump calls Trudeau ‘a loser’,The US president has claimed that “loser” Justin Trudeau has done a bad job governing Canada
"Sophie Grégoire Trudeau Breaks Silence on Justin Trudeau, Katy Perry Romance","Justin Trudeau’s estranged wife Sophie Grégoire Trudeau spoke about her ex’s life in the public eye following their separation in 2023, including his rumor..."
Trudeau Trump Meeting: Old video of Trudeau mocking Trump viral as Canada PM dines with President-elect,US News: A 2019 video of Justin Trudeau mocking Donald Trump has gone viral as the Canadian PM flew to Florida to meet President-elect Trump following Trump's
Former Canadian PM Trudeau visits Valais mountains,Former Canadian Prime Minister Justin Trudeau explores Zermatt with his son.
Justin Trudeau Is a KatyCat,Former Canadian prime minister Justin Trudeau gleefully sang along to ‘Firework’ at Katy Perry’s ‘Lifetimes’ tour stop in Montreal.
Trudeau blasts Trump’s ‘dumb’ tariffs,Canadian Prime Minister Justin Trudeau has condemned US President Donald Trump for imposing tariffs on Canadian imports
Trudeau Trump Meeting: Trump says meeting with Trudeau was very productive: 'I made it very clear that...',US News: Donald Trump described his meeting with Justin Trudeau as very productive while Trudeau said he had an excellent conversation with Trump. Trudeau flew
Canada's Prime Minister Justin Trudeau resigns,"In power since 2015, Trudeau said he would resign after a new leader of his Liberal Party is chosen."
Canadian PM Justin Trudeau Announces his Resignation,"Canadian Prime Minister Justin Trudeau has announced his resignation, telling the nation that “internal battles” mean he “cannot be the best option” in ..."
Trump takes jab at 'governor' Trudeau,The president-elect referred to the 'great state' of Canada in a social media post.
"What? Justin Trudeau reunites with ex-wife Sophie Grégoire Trudeau and kids, after pictures with Katy Perry go viral-- Here's why","Justin Trudeau is reportedly dating Katy Perry, with intimate yacht photos fueling romance rumors. Amidst this, he reunited with ex-wife Sophie Grégoi"
Justin Trudeau and Katy Perry Dating Rumor,Justin Trudeau and Katy Perry Dating Rumor refers to a rumored relationship between former Canadian Prime Minister Justin Trudeau and American pop singer K
Watch: Profile | Canadian Prime Minister Justin Trudeau,"Justin Trudeau resigned as Canada’s Prime Minister and Liberal Party leader on January 6th, 2025. His announcement came amid rising discontent over his leader..."
Are Katy Perry and Justin Trudeau dating?,Photos of pop star and ex Canadian PM getting cosy on a yacht spark social media frenzy
Trudeau may quit as Canadian PM – media,Justin Trudeau is reportedly expected to step down as Liberal Party leader due to policy disputes
Justin Trudeau: Justin Trudeau trolled for 2011's 'porn site QR code problem' post. Here's what happened back then,US News: Canadian Prime Minister Justin Trudeau's 2011 social media post about a QR code mishap resurfaced amidst criticism of his attendance at a Taylor Swift
Trudeau removes himself from the equation,"In announcing his intention to step away now, the prime minister creates two challenges — one for himself and one for his successor."
Katy Perry Reportedly Finds Justin Trudeau ‘Attractive’,"A new report concerning dating rumors surrounding Justin Trudeau and Katy Perry has emerged. It alleges the pair has an ""easy connection."""
Diplo Trolls Internet With Suspicious Justin Trudeau Selfie,"Diplo shares a selfie with Justin Trudeau and Katy Perry, as a playful jab at his former flame and her new partner."
Is Justin Trudeau about to resign?,"Over the last two weeks, Prime Minister Justin Trudeau has faced new and growing calls to resign. Could he finally step down this week?"
Canadian Prime Minister Justin Trudeau wins second term,Canadian Prime Minister Justin Trudeau won a second term Monday. Trudeau faced a close race against conservative Andrew Scheer following a series of scandals la...
Canada's PM Justin Trudeau to step down,The embattled prime minister will leave office once a new leader is chosen.
"Katy Perry, Justin Trudeau Seen Kissing on Yacht",Pop star Katy Perry and former Canadian Prime Minister Justin Trudeau were seen engaging in some hot and heavy PDA while on the
Trudeau exit shakes up Canadian politics,"OTTAWA - Justin Trudeau is resigning after more than nine years as Canada’s prime minister, bowing to dreadful polls and a rebellion within his governing Libe..."
Trump Trolls Justin Trudeau After Canadian Finance Minister Resigns,President-elect Donald Trump trolled Canadian Prime Minister Justin Trudeau after Finance Minister Chrystia Freeland resigned.
"Assessing the Trudeau record, real and imagined",Declining support for the Liberal Party should not be confused with declining support for progressive policies that create communities where all can thrive.
Trudeau reports ‘excellent conversation’ with Trump,Canadian Prime Minister Justin Trudeau says he has had an “excellent conversation” with Donald Trump at his Mar-a-Lago club following the US president-elect...
Trudeau faces political crisis as Chrystia Freeland resigns,"In a letter to Trudeau, Chrystia Freeland said, “For the last number of weeks, you and I have found ourselves at odds over the best path forward for Canada.?..."
"Trudeau prorogues Parliament, resigns as Liberal Party leader",Conservative Leader Pierre Poilievre has repeatedly stated that Trudeau lost government control and repeated calls for an election.
"Justin Trudeau: The Good, the Bad, and the Ugly","By quitting, Trudeau might just save the Liberals from an epic electoral disaster."
Canada’s PM Justin Trudeau Announces Resignation,The Canadian leader's popularity was seriously damaged by the recent resignation of former Deputy Prime Minister Chrystia Freeland of Toronto.
Justin Trudeau & Katy Perry: Romance rumours heat up,"Pictures of former Canada PM Justin Trudeau and pop star Katy Perry kissing on a yacht go viral, fueling romance rumours. Read more at straitstimes.com."
Katy Perry Soft-Launched Justin Trudeau on Instagram,"About six months after she hard-launched into space, Katy Perry soft-launched her relationship with Justin Trudeau in a blink-and-you’ll-miss-it cameo in a vi..."
Justin Trudeau 'crazy' about 'perfect' Katy Perry,"Justin Trudeau 'crazy' about 'perfect' Katy Perry, sources tell Page Six. The pair were recently seen on their first public date in Paris."
"Katy Perry, Justin Trudeau Spotted Kissing on Yacht",The popstar and former Canadian Prime Minister appear to have confirmed dating rumours
Trudeau faces frustrated MPs after Chrystia Freeland's shock resignation,Prime Minister Justin Trudeau faced frustrated MPs at a hastily arranged caucus meeting late Monday following Chrystia Freeland's shocking decision to resign f...
Trudeau gets smiles with stern speech to President 'Donald',"Prime Minister Justin Trudeau struck an informal tone on Tuesday, addressing the U.S. president several times as just “Donald” in a speech that was broadcas..."
Trudeau goneburger,"Canadian PM Justin Trudeau is resigning this week, in advance of a no confidence vote in his Government he was going to lose. The majority of his MPs had called..."
Katy Perry Spotted With Justin Trudeau,"Katy Perry was seen dining and bar-hopping in Montreal with Justin Trudeau, sparking dating rumors just weeks after her split from Orlando Bloom. Here’s every..."
Trump Trudeau Dinner: Did Trump make Trudeau spend the night at a hotel? Here's the truth behind viral X post,US News: An X post that claimed that Donald Trump did not ask Justin Trudeau to stay at Mar-a-Lago at night after their dinner went viral with social media use
Why's Trudeau Sticking Out His Tongue?,Canada's outgoing Prime Minister Justin Trudeau carries his chair from the House of Commons on Parliament Hill in Ottawa.
Justin Trudeau Attends Katy Perry Concert in Montreal,Justin Trudeau attended Katy Perry’s Montreal concert … 2 days after being spotted having dinner and cozy drinks together.
When will Canada hear from Justin Trudeau?,Trudeau leaves Canada in suspense as anxious Liberals urge him to go.
"Maybe Canadians were the problem, not Trudeau",Canada has struggled to address key challenges for nearly a generation. This failure was bipartisan and it stems from stems from Canadians simply not wanting to...
Canadian 'Governor' Trudeau Mocked After Announcing Plans to Resign,Americans soundly mocked Canadian Prime Minister Justin Trudeau on Monday after he announced plans to resign his post.
Trudeau spotted at Katy Perry concert days Montreal date,"Justin Trudeau was spotted in the crowd at Katy Perry’s concert in Montreal, days after duo dined together in the city."
Justin Trudeau & Katy Perry ‘Value Connections’ — Report,Sources close to Katy Perry have claimed that the singer is currently 'in a great place' with respect to her romance with Justin Trudeau.
Sophie Grégoire Trudeau: All about the estranged wife of former Canadian PM caught in the middle of Justin Trudeau-Katy Perry romance,"Canadian Prime Minister Justin Trudeau's rumored romance with Katy Perry is gaining traction, with the pair recently vacationing together. This comes"
"Katy Perry & Justin Trudeau Click Really Well, Says ‘Source’","Katy Perry and Justin Trudeau, who recently enjoyed a dinner night in Montreal, reportedly like ""chatting"" with one another."
Katy Perry Jokes About Englishmen Amid Justin Trudeau Romance,"Katy Perry seemingly teased her romance with Justin Trudeau during her London concert, joking about her history with Englishmen and moving on"
Trudeau on the brink after chaotic day in Ottawa,Canada's politics were thrown into chaos after the sudden exit of the country's finance minister.
Treasury Secretary Scott Bessent: Justin Trudeau Is a ‘Numbskull’,"Secretary of the Treasury Scott Bessent called Canadian Prime Minister Justin Trudeau a ""numbskull"" on Thursday, in response to Trudeau declaring Canada will c..."
Canada will never join US – Trudeau,US President Donald Trump has repeatedly suggested incorporating Canada as the 51st state
Quebec Liberal caucus wants Trudeau to resign: sources,"Quebec MPs are adding to the pressure on Prime Minister Justin Trudeau to step aside as leader. The province's caucus chair, Stéphane Lauzon, consulted with MP..."
Trudeau slams Trump's tariffs as stocks plunge,Canadian Prime Minister Justin Trudeau is calling out President Trump's tariffs levied. This comes as the stock markets show signs of panic among investors over...
Where does Justin Trudeau go without Chrystia Freeland?,"No minister is ever truly irreplaceable. But aside from Trudeau himself, no minister has been more central to this Liberal government than Freeland. Her explos..."
Why Canada Fell Out of Love with Justin Trudeau,He promised sunny ways but left behind a divided country
A timeline of Justin Trudeau and Katy Perry’s relationship,Former prime minister Justin Trudeau and pop star Katy Perry have been linked since this summer when they were spotted out together in Montreal. With a recent o...
Justin Trudeau Attends Katy Perry 'Lifetimes' Concert in Montreal,Justin Trudeau attended Katy Perry's 'Lifetimes Tour' in Montreal days after the two were spotted walking her dog and dining together
Ten (Other) Times Justin Trudeau Could Have Stepped Down,There have been a lot of scandals
Katy Perry & Justin Trudeau Pack on PDA in the Pacific,Katy Perry and a topless Justin Trudeau were spotted getting hot and heavy after months of rumored romance.
Trudeau resigns as Liberal Party leader after growing pressure,Canadian Prime Minister Justin Trudeau announced his resignation on Jan. 6 in the face of rising discontent over his leadership and after the abrupt depart...
Trolls Have a Field Day over Trudeau-Perry Kiss,Netizens question both private integrity and public accountability of ex Canadian PM
What will Canada's second Trudeau era leave behind?,It is impossible in the present to know what history will remember. But Justin Trudeau’s time as a maker of history is now within sight. It is not too early t...
"Trudeau delivers Christmas message, thanks essential workers","Prime Minister Justin Trudeau, in a pre-recorded message, offered Christmas wishes and thanked all essential workers who were on the job so others could celebra..."
Trudeau: Canada ‘will respond’ if Trump imposes tariffs,"Canadian Prime Minister Justin Trudeau has warned of retaliatory measures if US President-elect Donald Trump imposes new tariffs, citing the success o"
How Justin Trudeau won and lost the public's adoration,"In his early days as prime minister, Justin Trudeau was ""cool."" In the year that followed his majority sweep into power, he appeared in the pages of Vogue, on t..."
Trudeau to appear at Liberal fundraiser tonight,"Chrystia Freeland, Canada's finance minister, said in an explosive letter published Monday morning that she will quit cabinet. Follow along for live updates."
"U.S.-Canada alliance stronger because of Trudeau, Biden says - National","The outgoing U.S. president listed a range of issues that he and Trudeau worked on together, 'from the COVID-19 pandemic, to climate change, to the scourge of..."
Canadian Prime Minister Justin Trudeau announces his resignation,"Canadian Prime Minister Justin Trudeau has announced his resignation, telling the media that “internal battles” mean he “cannot be the best option” in t..."
Trudeau slams Trump’s ‘dumb’ tariffs as economic war on Canada,"Trudeau blasts Trump’s tariffs as an attack on Canada’s economy, warning of severe consequences for both nations."
