title,description
Trudeau teeters in Canada after deputy’s scathing resignation,"Even before the deputy shocked the country with her letter, Prime Minister Justin Trudeau’s grasp on power already appeared to be slipping."
André Pratte: The Trudeau-Carney era’s catastrophic mismanagement,The Liberals have been gravely irresponsible with public finances
Trump responds to Trudeau resignation by suggesting Canada merge with U.S.,Prime Minister Justin Trudeau's resignation as Liberal leader comes just two weeks before Donald Trump takes office as U.S. president while threatening to impos...
"Canada PM Trudeau to announce intention to step down, CBC News reports",Canadian Prime Minister Justin Trudeau will announce on Monday that he intends to step down as Liberal leader
Canadian Finance Minister resigns as Trudeau government's popularity flounders,"Canadian Finance Minister Chrystia Freeland announced her resignation from Justin Trudeau's Cabinet on Monday, a powerful blow to the Liberal Prime Minister's h..."
"US Says Justin Trudeau Has Been America's ""Stalwart Friend""","The White House said on Monday that Canadian Prime Minister Justin Trudeau, who announced that he will step down in the coming months after nine years in power,..."
Katy Perry and Justin Trudeau Seen Passionately Kissing on a Yacht,"Katy Perry and ﻿Canadian Prime Minister Justin Trudeau were seen kissing on the singer’s yacht,﻿ the Caravelle, off the coast of Santa Barbara, California..."
FIRST READING: The last time Canada had a Trudeau who refused to leave,The elder Trudeau also stayed on until virtually the entire country despised him.
Justin Trudeau romance with Katy Perry is ‘midlife crisis’ after marriage breakup: source,"After Katy Perry and Justin Trudeau were spotted cuddling and kissing on a yacht, sources called the new romance a 'midlife crisis' and beneficial for both of t..."
Trudeau reduced to tears after ‘colourful’ phone call with Trump over tariffs,"Justin Trudeau was reduced to tears at a press conference on Thursday night, after reports of a profanity-laden phone call with Donald Trump."
Michael Higgins: Divisive Justin Trudeau is at it again,"Rather than emphasizing what he and Premier Danielle Smith agree on regarding Trump's tariff threats, the PM plays up their differences"
Is Katy Perry dating Justin Trudeau? Duo spotted during private dinner Outing,
Who Will Replace Justin Trudeau As Prime Minister Of Canada?,Canadian Prime Minister Justin Trudeau announced his resignation after facing an increasing loss of support both within his party and in the country. Now Trud...
