category,attitude,title,description
US Relations,negative,"Trump mocks Justin Trudeau, calls him 'Governor of the great state of Canada'","Washington: US President-elect Donald Trump took a jab at Canadian Prime Minister Justin Trudeau on the social media platform Truth Social, describing him as th..."
Personal Life,positive,“Addicted To Powerful Men”: Katy Perry And Justin Trudeau Get Cozy On A Yacht In Steamy New Pics,“Justin could. not. stop grinning.
Personal Life,neutral,How comedian Mark Critch landed the only year-end interview with Justin Trudeau,The prime minister spoke about whether or not he'd resign and his father’s political trajectory in a now exclusive conversation with Critch.
US Relations,negative,Trump Bullies Justin Trudeau Over Tariffs in Weird Rant,Donald Trump doubled down on the tariffs in a confusing reversal.
Personal Life,neutral,Justin Trudeau hasn't met Katy Perry's friends yet; prediction markets doubt engagement in 2025,US News: Prediction markets like Polymarket and Kalshi saw a rise in online betting on Justin Trudeau and Katy Perry's relationship as the duo walked hand in h.
International Politics,neutral,Trudeau set to visit King Charles before flying home to Ottawa after security summit,LONDON — Prime Minister Justin Trudeau planned to meet with King Charles today before leaving London for Ottawa. Trudeau was in London for a weekend security ...
International Politics,neutral,Trudeau set to meet with King Charles before returning to Ottawa after security summit,"Trudeau said he would raise matters with the King that are most important to Canadians, adding that Canada's sovereignty and independence seem to be atop the pu..."
Resignation,neutral,Justin Trudeau resigns: How will it impact B.C.? And other questions,Here's what to know about Trudeau's resignation and how it might impact B.C.
Personal Life,positive,Katy Perry reportedly 'very happy' in her romance with Justin Trudeau: 'She's really into it',"Katy Perry is reportedly dating former Canadian Prime Minister Justin Trudeau, according to Us Weekly sources. The pair were photographed together in July and O..."
Personal Life,negative,“She Thought It Was a Date!” Katy Perry Mortified After Justin Trudeau Crushes Romance Rumors,"It began casually: Perry, Trudeau, and Perry’s adorable therapy pup Nugget were photographed strolling through Mount Royal Park in Montreal. They laughed, cha..."
US Relations,neutral,Premiers call for urgent meeting with Trudeau to discuss Canada-U.S. relations,Canada’s premiers say they want to meet with Prime Minister Justin Trudeau “as soon as possible” to discuss the Canada-U.S. relationship.
Personal Life,neutral,Katy Perry and Former Canadian Prime Minister Justin Trudeau Go to Dinner,Katy Perry and former Canadian Prime Minister Justin Trudeau were spotted dining together in Canada amid her 'Lifetimes Tour'
Canadian Politics,neutral,"Poilievre defends RCMP comments, denies saying Trudeau should be in jail - National","On Wednesday, Poilievre said he thinks there were some scandals during Trudeau's time in office that should have resulted in criminal charges."
Personal Life,positive,Katy Perry And Justin Trudeau Hard Launch Relationship With First Public Outing,"After months of speculation, the pop star and Canadian politician have confirmed their relationship."
US Relations,neutral,Trudeau says call with Trump was 'colourful' and warns trade war will continue for 'foreseeable future',"Prime Minister Justin Trudeau said Thursday that his phone call with U.S. President Donald Trump was ""colourful"" with moments of tension as the two hashed out h..."
Canadian Politics,negative,"FIRST READING: Harper unloads on Trudeau, Trump in uncharacteristic interview","Until this moment, the ex-prime minister has been quite judicious about avoiding public criticism of his successor"
US Relations,negative,"Trudeau says US tariff war to drag on, Bessent calls him a 'numbskull'","OTTAWA (Reuters) -Canada will be in a trade war with the United States for the foreseeable future, Prime Minister Justin Trudeau said on Thursday, speaking shor..."
Personal Life,positive,"Katy Perry And Justin Trudeau Caught Kissing On A Yacht Amid Dating Rumours, Almost Confirm Relationship!",Katy Perry and actor Orlando Bloom ended their engagement after nearly a decade together.
US Relations,neutral,Canada PM Trudeau visits Florida to meet with Trump amid tariff threat,"Canadian Prime Minister Justin Trudeau visited Donald Trump's Florida resort on Friday to meet with the U.S. President-elect, days after Trump threatened to sla..."
US Relations,negative,Trump’s Return Could Make Trudeau Look Smaller than Ever,Polls suggest the former president’s comeback won’t revive Liberal fortunes
Canadian Politics,negative,Most Canadians now want early election as Trudeau support drops again: poll - National,Ipsos polling done exclusively for Global News was released Friday and shows over half of Canadians believe there should be an early election.
Resignation,negative,Trudeau Resigns After Nine Years in Power as Liberals Force Him Out,"Prime Minister Justin Trudeau is resigning after more than nine years leading Canada, bowing to sagging approval numbers and a rebellion within his political pa..."
US Relations,neutral,Trump to Speak with Trudeau as U.S.-Canada Tariff War Looms,President Donald Trump will speak with Canadian Prime Minister Justin Trudeau on Monday afternoon before tariffs take effect Tuesday.
Personal Life,negative,Scandalous affairs of world leaders: From Justin Trudeau to Bill Clinton– 5 shocking political romances,"Power, politics, and passion often collide — and history has proven that even the most powerful aren’t immune to matters of the heart. From secret romances ..."
Personal Life,positive,Smitten Justin Trudeau spotted in crowd at Katy Perry's concert with his daughter after viral date,"A photo circulating on social media purports to show Justin watching Katy's latest show with his daughter Ella Grace, 16, by his side."
US Relations,negative,"Trudeau using tariff issue to ‘run again for PM,’ claims Trump: ‘Terrible job for Canada’",US News: The ongoing US-Canada trade dispute took a dramatic turn as President Donald Trump accused Canadian Prime Minister Justin Trudeau of using the tariff .
US Relations,neutral,Trudeau travels to Florida in wake of Donald Trump's tariff threat,"Prime Minister Justin Trudeau's plane has landed at Palm Beach International Airport, which is used by Donald Trump when the U.S. president-elect travels to his..."
Personal Life,positive,"Here’s What Justin Trudeau Did After He & Katy Perry Spent Time in Montreal, Says Source","Justin Trudeau and Katy Perry’s rumored relationship appears to be heating up, as he's “been pursuing her” since their meeting in Montreal."
US Relations,neutral,Canada PM Trudeau in Florida to meet Trump as tariff threats loom,"Biden warns that Trump’s tariff threats could “screw up” US's relationships with Ottawa, Mexico City."
Canadian Politics,negative,Trudeau contemplates his future as the path narrows for him to remain prime minister,"Trudeau's decision to demote Chrystia Freeland appears to have backfired spectacularly, igniting a chorus of calls for him to resign, including from several Lib..."
Personal Life,positive,Orlando Bloom Reacts to Katy Perry and Justin Trudeau Dating Rumors,Orlando Bloom reacted to a satirical article jokingly linking him to Angela Merkel as Katy Perry and Justin Trudeau spark dating speculation
Personal Life,positive,Sophie Trudeau says she has learnt not to cling to ‘relationships’ after split with PM,Sophie Grégoire Trudeau has “learnt to cut ties” and “not cling to relationships” after the break-up of her marriage to the prime minister of Canada.
US Relations,positive,Trudeau appears on CNN to make case against tariffs to American audience,"For the first time since U.S. president-elect Donald Trump threatened hefty tariffs on Canadian goods, Prime Minister Justin Trudeau took his argument against t..."
