category,attitude,title,description
International Politics,neutral,"Trudeau to attend second day of G20 summit, return to Ottawa",OTTAWA — Prime Minister Justin Trudeau is attending the final day of the G20 summit in Brazil. He is set to go to a working session on sustainable development...
Personal Life,neutral,Justin Trudeau spotted at Katy Perry concert days after dining together in Montreal,"Breaking News, Sports, Manitoba, Canada"
US Relations,neutral,Trudeau set to meet with Canadian premiers amid Trump tariff threat,Ontario Premier Doug Ford's office said on Tuesday that a virtual meeting of the country's premiers would take place with Trudeau on Wednesday afternoon.
International Politics,neutral,Ukrainian president says Trudeau is expected to visit Ukraine on Monday,The Prime Minister’s Office says Justin Trudeau spoke with U.S. President Donald Trump on Saturday about the war in Ukraine and Canada’s efforts to combat f...
Resignation,negative,Canadian Prime Minister Justin Trudeau Faces Calls To Resign. Here’s What Could Happen Next,Canadian Prime Minister Justin Trudeau faces growing pressure to resign from his own Liberal Party after his top minister abruptly quit and criticized his han...
US Relations,negative,Trudeau says Canada 'ready' for Trump tariffs as ministers make final push in D.C.,"Prime Minister Justin Trudeau says Canada is ready to deliver a ""purposeful, forceful but reasonable, immediate"" response if U.S. President Donald Trump imposes..."
Resignation,neutral,Trudeau to make announcement at 7:45 a.m. PT amid calls for resignation,The Prime Minister's Office called reporters to Rideau Cottage for 7 a.m. PT and Trudeau is set to speak at 7:45 a.m. PT.
Personal Life,negative,F*ck Trudeau? Don't Mind If I Do!',"Katy and Justin sitting in a tree, K-I-S-S-I-N-G."
International Politics,negative,"Opinion | For An India-Canada Reset, Trudeau Really Had To Go",Trudeau's departure was needed for an India-Canada reset as the strategic partnership that was put in place in 2015 now lies in shambles.
Resignation,negative,Butts says Trudeau less likely to remain leader since Freeland quit - National,Gerald Butts wrote in a Substack newsletter that Finance Minister Chrystia Freeland's surprise resignation from cabinet last week dealt Trudeau a staggering blo...
Resignation,negative,"DAVID MARCUS: Trudeau exits the stage. Canadian Truckers 1, Prime Minister 0","Back in 2015 when Justin Trudeau ascended to the prime minister role, he was supposed to be the young, sexy, brash leader who could guide the Liberal Party and ..."
International Politics,neutral,"G20 summit: Trudeau set to meet Biden, other world leaders in Rio - National",The meeting will take place a day after The Associated Press reported that Biden has authorized Ukraine to use U.S.-supplied long-range missiles to strike deepe...
Canadian Politics,positive,"Harper and Trudeau share laughs, and other lighter throne speech moments","Despite the pomp and circumstance surrounding the speech from the throne, the moments leading up to it were all but formal."
Canadian Politics,neutral,How much has Prime Minister Justin Trudeau changed Canada? The reviews are mixed,"As Trudeau prepares to step down, CBC's The House spoke to experts and analysts about the legacy he leaves behind — and whether Trudeau's transformation of Ca..."
US Relations,negative,"Larry Kudlow: Trudeau ""betrayed"" Trump at G7, ""should have known better""",On
US Relations,positive,Trump is open to using 'economic force' to acquire Canada; Trudeau responds,"Prime Minister Justin Trudeau said 'there isn’t a snowball’s chance in hell that Canada would become part of the United States,' on the same day U.S. presid..."
Resignation,negative,Why are there calls for Justin Trudeau to resign? Explaining the Canadian PM's political woes,"A decade ago, Canadian Prime Minister Justin Trudeau was a shining figure in international diplomacy. Now he's facing a no-confidence vote."
US Relations,positive,Canada must not ‘freak out’ over Trump’s tariff threat – Trudeau,The President-elect has threatened Ottawa with 25% tariffs on imports unless it tightens border security
Personal Life,neutral,Katy Perry & Justin Trudeau Seen on Dinner Date in Montreal,"Katy Perry is saying ""bon appétit"" to Justin Trudeau ... as the pair was seen chowing down at a swanky restaurant in Montreal."
International Politics,neutral,Trudeau sign nuclear energy cooperation agreement with Poland,Prime Minister Justin Trudeau is travelling to Warsaw today to meet with his Polish counterpart Donald Tusk.
Personal Life,neutral,Katy Perry Subtly Soft Launches Justin Trudeau Relationship,"Katy Perry included her new beau Justin Trudeau in an Instagram post celebrating her 41st birthday, officially soft launching their romance on social media."
International Politics,neutral,Trudeau to meet Polish PM and sign nuclear energy cooperation agreement,"Breaking News, Sports, Manitoba, Canada"
Personal Life,neutral,Katy Perry Tells Fan She Is Dating Somebody Else Amid Trudeau Romance,Katy Perry told a Prague crowd she is dating somebody else amid reports she is exploring a romance with Justin Trudeau and fans proposing
Personal Life,negative,"Orlando Bloom Jokingly Reacts to Katy Perry, Justin Trudeau Rumored Romance","Orlando Bloom reacted to a satirical post about him going on date with former German Chancellor Angela Merkel, seemingly referencing the rumored romance between..."
Personal Life,neutral,Katy Perry and shirtless Justin Trudeau get hot and heavy on singer’s yacht,Katy Perry and Justin Trudeau packed on the PDA in steamy photos from her yacht.
Personal Life,neutral,Justin Trudeau and Katy Perry’s Teen-Age Dream,"The pair, spotted together kissing on a yacht, seemed to represent a romance for an era of celebrity politics, when a former President has Netflix deals and the..."
Resignation,negative,Canada’s Trudeau is to reshuffle his Cabinet as resignation calls mount and discontent rises,TORONTO (AP) — Canadian Prime Minister Justin Trudeau 's cling to power became more tenuous Friday after the opposition party that backed his government for y...
US Relations,negative,To Governor Justin Trudeau of Canada': Trump's Christmas message,
US Relations,positive,Trudeau says he 'had a good call' with Trump about tariffs,"Canadian Prime Minister Justin Trudeau said he ""had a good call” with President-elect Donald Trump following his new announcement of a 25% tariff on items fro..."
Canadian Politics,positive,"Does Trudeau have the confidence of his cabinet? ‘Yes,’ says LeBlanc - National",Finance Minister Dominic LeBlanc was also asked if he would consider an opportunity to lead the country if he were given the chance.
Resignation,negative,From $2 resignation burgers to relief: British Columbians react to Trudeau resignation,Reaction has been pouring in following news that Justin Trudeau is stepping down as prime minister and the Liberal leader. Trudeau made the announcement on Mond...
Personal Life,neutral,Katy Perry's viral response to fan proposal fuels Justin Trudeau romance talk,Katy Perry's recent remarks at a London concert and viral photos with Justin Trudeau have stirred speculation about her relationship status. The singer gave a c...
Resignation,neutral,Justin Trudeau Steps Down As Canadian Prime Minister After 10 Years In Power (VIDEO),Justin Trudeau made the announcement while addressing a press conference today. There are reports that he will remain in power until a replacement party leader ...
US Relations,negative,Raymond J. de Souza: Trudeau makes everyone's skin crawl,No more hugs for the prime minister
Canadian Politics,negative,Kelly McParland: Singh pays the price for protecting Trudeau,NDP is cratering in the polls
Canadian Politics,neutral,Michael Higgins: Liberal caucus submits to Carney as it did to Trudeau,MPs too afraid to adopt Reform Act rules
Personal Life,negative,Justin Trudeau & Katy Perry canoodled on a yacht off the Santa Barbara coast,"Celebitchy is a daily gossip and entertainment blog, started in 2006, which also focuses on liberal politics, royal coverage and fashion."
Personal Life,neutral,"Justin Trudeau dresses as Katy Perry’s ‘Left Shark’ for Halloween, sparking romance buzz","Canadian Prime Minister Justin Trudeau sparked romance rumors with pop star Katy Perry by dressing as her iconic \""Left Shark\"" for Halloween. This play"
