category,attitude ,title,description
Canadian Politics,neutral,Canada: ‘Aggressive Populist’ Pierre Poilievre Seeks Prime Ministership After Trudeau Exit,Canadian Conservative Party leader Pierre Poilievre began a campaign to hold a general election in the country as soon as possible.
Canadian Politics,positive,Trudeau warns Poilievre against amplifying 'erroneous narratives' about Canada-U.S. border,"In a meeting with opposition leaders Trudeau warned the Tory over amplifying ""erroneous narratives"" he says Americans have about the border"
Canadian Politics,positive,Trudeau to announce $20B in child care deals with 10 provinces and territories,Prime Minister Justin Trudeau will announce that his government has signed agreements totalling almost $20 billion over five years with 10 provinces and territ...
US Relations,negative,Trump taunts Trudeau by calling him 'governor' and Canada 'a great state',"President-elect Donald Trump took a jab at Prime Minister Justin Trudeau on Tuesday, calling him a ""governor"" and referring to Canada as a ""great state,"" yet a..."
US Relations,positive,Prices for Americans will go up': Trudeau warns Trump over tariff threat,Rest of World News: Canadian Prime Minister Justin Trudeau warned that American consumers will face higher prices if President Donald Trump imposes sweeping tar...
Personal Life,negative,Is Justin Trudeau Married? All About His Wife Sophie Grégoire,"With the former Canadian Prime Minister making headlines alongside Katy Perry, here’s what to know about his marriage to Sophie Grégoire."
US Relations,positive,Trudeau highlights Kamala Harris presidential defeat as an attack on women’s progress,"Prime Minister Justin Trudeau says women's rights and women's progress is under attack, pointing to the recent defeat of U.S. presidential candidate Kamala Harr..."
Resignation,neutral,Trudeau prorogues Parliament and will resign as PM after leadership race,He also says Gov. Gen. Mary Simon has agreed with his request to prorogue Parliament until March 24.
Personal Life,neutral,"Watch: Katy Perry, Justin Trudeau confirm their relationship, walk hand-in-hand in Paris","Watch: Katy Perry, Justin Trudeau confirm their relationship, walk hand-in-hand in Paris"
Personal Life,negative,"Michael Higgins: For the good of the country, Trudeau should exit immediately",It’s a bit rich for the Liberals to moan about a paralyzed Parliament
Resignation,negative,"Elon Musk 'calls' Canada's outgoing PM Justin Trudeau: Girl, you’re not the ....","TECH NEWS : Elon Musk addressed outgoing Canadian Prime Minister Justin Trudeau on X (formerly Twitter), highlighting Trudeau is no longer the governor of Canad..."
Personal Life,neutral,Katy Perry’s Moves During Justin Trudeau Date Analyzed by ‘Body Language Expert’,"Katy Perry reportedly gave ""flirty cues"" to Justin Trudeau during their recent dinner date in Canada, which sparked dating rumors."
International Politics,negative,"Modi’s G7 diplomacy lauded by US expert, Trudeau rebuked over Khalistan support","Michael Rubin hails PM Modi’s G7 summit attendance as a diplomatic win, slams Trudeau for emboldening Khalistanis and urges Canada to crack down on extremism."
Resignation,negative,Canadian PM Justin Trudeau Announces Resignation Amid Mounting Internal Pressures,"Canadian Prime Minister Justin Trudeau announced his resignation Monday, signaling the end of his leadership tenure once the Liberal Party selects a successor. ..."
US Relations,neutral,Trudeau congratulates Trump as cabinet meets to discuss next steps,Prime Minister Justin Trudeau praised Canada's
US Relations,positive,Trudeau urges US consumers to consider harm of Trump's tariff threats,Vancouver: Canada's outgoing Prime Minister Justin Trudeau on Sunday suggested that US President-elect Donald Trump's remarks about Canada becoming America's
US Relations,neutral,Trudeau in Florida to meet Trump amid tensions over tariff threats,Canadian Prime Minister Justin Trudeau arrived in Florida on Friday for a dinner with President-elect Donald Trump at his Mar-a-Lago estate. The unnannounced me...
US Relations,positive,Trudeau says ‘no question’ Trump is serious on tariff threat - National,"One of the things that is really important to understand is that Donald Trump, when he makes statements like that, he plans on carrying them out,'  Justin Trud..."
Personal Life,neutral,Justin Trudeau celebrates Thanksgiving with ex-wife Sophie days after viral kiss with Katy Perry,Justin Trudeau celebrates Thanksgiving with ex-wife Sophie days after viral kiss with Katy Perry ||Justin Trudeau and Katy Perry
Resignation,positive,"Watch: Justin Trudeau breaks down in farewell speech, takes jibe at Donald Trump","Rest of World News: Justin Trudeau, in an emotional speech as he steps down as Canadian Prime Minister, emphasized Canada facing critical economic challenges du..."
Canadian Politics,neutral,Poilievre still wants to run against Trudeau,"Days before the byelection, Poilievre announced plans to mount a campaign against the last vestiges of the Trudeau government’s climate policy — the zero-..."
Personal Life,negative,‘Pragmatic’ Katy Perry Might Give up on Justin Trudeau Romance — Source,Katy Perry and Justin Trudeau's romance may be affected by the former's pragmatic approach to relationships.
US Relations,negative,"Trump Taunts Trudeau: ‘Tariffs Won’t Save You, Justin!’","President Trump mocks Canadian PM Justin Trudeau, accusing him of using tariffs as an excuse to stay in power. “Good luck, Justin!” Trump writes."
US Relations,positive,"Kamala Harris's presidential defeat was an attack on women’s progress, Trudeau says","It shouldn't be that way. It wasn't supposed to be that way,' Trudeau said at an event Tuesday, adding he is a proud feminist"
Resignation,neutral,Justin Trudeau will step down as Liberal leader. Who could come next?,"After nearly 12 years at the helm of the Liberal Party of Canada, Justin Trudeau will step down from the party’s top job oncea new leader is chosen. But who c..."
US Relations,positive,‘A very dumb thing to do’: Trudeau calls out Trump on tariffs,"Speaking on the implementation of new U.S. tariffs, Canadian Prime Minister Justin Trudeau addressed President Trump directly, calling the tariffs ‘a very dum..."
Canadian Politics,positive,The Montreal riding Trudeau held for 16 years reflects on his legacy,"With Justin Trudeau set to resign as Canada's prime minister, people in the Montreal riding of Papineau, which he has held since the fall of 2008, reflect on th..."
Personal Life,neutral,"Justin Trudeau, Katy Perry dating? Romance rumours swirl after ex Canadian PM spotted at her concert","Former Canadian Prime Minister Justin Trudeau was spotted vibing solo at American singer-songwriter Katy Perrys Montreal concert, sparking dating rumours. Trude..."
Canadian Politics,neutral,Race Begins To Replace Canada's Justin Trudeau,"The race to be Canadian Prime Minister Justin Trudeau's successor kicked off on Tuesday, a day after he resigned amid a looming trade war with the United States..."
Resignation,negative,Liberal MPs to meet next week as calls for Trudeau to leave intensify,Liberal MPs will gather next week for a special national caucus meeting for the first time since Prime Minister Justin Trudeau told them he would take the holi...
Canadian Politics,positive,Trudeau defends Canada's carbon tax and says it is being battered by misinformation,Prime Minister Justin Trudeau made the remarks at the G20 and added the tax is among the world's strongest but
Canadian Politics,neutral,Former Bank of Canada governor Carney enters race to replace Trudeau By Reuters,Former Bank of Canada governor Carney enters race to replace Trudeau
US Relations,positive,Justin Trudeau Responds to Trump’s Tariff Threats: Canada Ready to Inflict Economic Pain,US News: Outgoing Canadian Prime Minister Justin Trudeau on Tuesday responded strongly to US President Donald Trump's tariff threats and said that Ottawa is wi.
Personal Life,neutral,Ex-Canadian Prime Minister Justin Trudeau Dines with Singer Katy Perry in Montreal,Former Canadian Prime Minister Justin Trudeau and Katy Perry had dinner together in a Montreal restaurant this week.
US Relations,positive,"Justin Trudeau tells Trump that tariffs are 'very dumb,' says Canada striking back",Prime Minister Justin Trudeau condemned U.S. President Donald Trump's new tariffs on Canadian imports as unjustified and retaliated with 25% tariffs on C$30 bil...
Canadian Politics,negative,Canada's PM Justin Trudeau faces ‘difficult’ leadership crisis,Follow the latest news headlines from Australia's most trusted source. Read in-depth expert analysis and watch live coverage on ABC News.
Resignation,negative,Justin Trudeau expected to resign as Liberal Party leader this week: Globe and Mail,Trudeau has faced mounting calls for his resignation from MPs in his caucus as public opinion polls have continued to put the governing Liberals trailing far be...
Personal Life,neutral,Katy Perry and Justin Trudeau Photographed Making Out on a Yacht,Katy Perry and Justin Trudeau were photographed getting cozy on a yacht off the coast of Santa Barbara.
US Relations,negative,Is Justin Trudeau Barron Trump’s ‘Secret Dad’? The Internet’s Favorite Conspiracy Theory is Back!,"The claim that former Prime Minister Justin Trudeau is the biological father of Barron Trump, however, is a persistent rumor..."
Personal Life,neutral,Katy Perry & Justin Trudeau Make It Official! — A Complete Timeline Of Their Romantic Relationship,"After speculations circulating everywhere about Katy Perry and Justin Trudeau's romance, the couple made it official by walking hand-in-hand. Read on to know mo..."
Canadian Politics,neutral,Trudeau stakes out high ground on climate with cabinet shuffle,"Friday’s cabinet shuffle is widely seen as an attempt by Trudeau to plug the holes before the Liberal ship capsizes, but nonetheless there are positive signal..."
Canadian Politics,negative,Canada's finance minister quits over Trump tariff dispute with Trudeau,Chrystia Freeland says Canada faces a
US Relations,positive,"Amid faceoff with Trump, Trudeau dials California governor over LA wildfires",US News: Canadian Prime Minister Justin Trudeau reassured California Governor Gavin Newsom of Canada's support amid wildfires that have killed 11 people. Meanw
US Relations,negative,"Trudeau cannot live in denial about U.S. border, tariff situation: Legault","“We have to reassure Mr. Trump” about border security before 25% tariffs on Canadian goods are imposed, Quebec Premier François Legault says."
Resignation,negative,Justin Trudeau resignation: Many in his home riding of Papineau happy with news,Justin Trudeau was first elected to the riding of Papineau in 2008. It's considered one of the most diverse and immigrant-rich ridings in the country.
Canadian Politics,negative,Trudeau to cut sales tax and send checks to millions of Canadians as election looms,Canadian Prime Minister Justin Trudeau 's government announced plans Thursday to temporarily lift the federal sales tax off a number of items and send checks to...
US Relations,positive,"Canada's Trudeau slaps 25% tariff on US imports, calls Trump’s trade war ‘very dumb’",Rest of World News: Canadian Prime Minister Justin Trudeau declared on Tuesday that Canada will not back down in its escalating trade war with the United States...
Personal Life,neutral,Katy Perry & Justin Trudeau Confirm Relationship With First Public Appearance as Couple in Paris,Katy Perry and Justin Trudeau made their first public appearance as a couple in Paris.
US Relations,neutral,Report: Trudeau Meets with Trump in Palm Beach After Huge Tariff Threat,Justin Trudeau's visit comes after Trump said he plans to impose a 25% tariff until Mexico and Canada stop the inflow of migrants and drugs.
