category,attitude,title,description
Personal Life,neutral,"What? Justin Trudeau reunites with ex-wife Sophie Gr‚goire Trudeau and kids, after pictures with Katy Perry go viral-- Here's why","Justin Trudeau is reportedly dating Katy Perry, with intimate yacht photos fueling romance rumors. Amidst this, he reunited with ex-wife Sophie Gr‚goi"
Personal Life,neutral,Justin Trudeau and Katy Perry Dating Rumor,Justin Trudeau and Katy Perry Dating Rumor refers to a rumored relationship between former Canadian Prime Minister Justin Trudeau and American pop singer K
Resignation,negative,Watch: Profile | Canadian Prime Minister Justin Trudeau,"Justin Trudeau resigned as Canada?s Prime Minister and Liberal Party leader on January 6th, 2025. His announcement came amid rising discontent over his leader..."
Personal Life,neutral,Are Katy Perry and Justin Trudeau dating?,Photos of pop star and ex Canadian PM getting cosy on a yacht spark social media frenzy
Resignation,negative,Trudeau may quit as Canadian PM ? media,Justin Trudeau is reportedly expected to step down as Liberal Party leader due to policy disputes
Personal Life,negative,Justin Trudeau: Justin Trudeau trolled for 2011's 'porn site QR code problem' post. Here's what happened back then,US News: Canadian Prime Minister Justin Trudeau's 2011 social media post about a QR code mishap resurfaced amidst criticism of his attendance at a Taylor Swift
Resignation,negative,Trudeau removes himself from the equation,"In announcing his intention to step away now, the prime minister creates two challenges ?ÿone for himself and one for his successor."
Personal Life,positive,Katy Perry Reportedly Finds Justin Trudeau ?Attractive?,"A new report concerning dating rumors surrounding Justin Trudeau and Katy Perry has emerged. It alleges the pair has an ""easy connection."""
Personal Life,neutral,Diplo Trolls Internet With Suspicious Justin Trudeau Selfie,"Diplo shares a selfie with Justin Trudeau and Katy Perry, as a playful jab at his former flame and her new partner."
Resignation,negative,Is Justin Trudeau about to resign?,"Over the last two weeks, Prime Minister Justin Trudeau has faced new and growing calls to resign. Could he finally step down this week?"
Canadian Politics,neutral,Canadian Prime Minister Justin Trudeau wins second term,Canadian Prime Minister Justin Trudeau won a second term Monday. Trudeau faced a close race against conservative Andrew Scheer following a series of scandals la...
Resignation,negative,Canada's PM Justin Trudeau to step down,The embattled prime minister will leave office once a new leader is chosen.
Personal Life,neutral,"Katy Perry, Justin Trudeau Seen Kissing on Yacht",Pop star Katy Perry and former Canadian Prime Minister Justin Trudeau were seen engaging in some hot and heavy PDA while on the
Resignation,negative,Trudeau exit shakes up Canadian politics,"OTTAWA - Justin Trudeau is resigning after more than nine years as Canada?s prime minister, bowing to dreadful polls and a rebellion within his governing Libe..."
US Relations,negative,Trump Trolls Justin Trudeau After Canadian Finance Minister Resigns,President-elect Donald Trump trolled Canadian Prime Minister Justin Trudeau after Finance Minister Chrystia Freeland resigned.
Canadian Politics,negative,"Assessing the Trudeau record, real and imagined",Declining support for the Liberal Party should not be confused with declining support for progressive policies that create communities where all can thrive.
US Relations,positive,Trudeau reports ?excellent conversation? with Trump,Canadian Prime Minister Justin Trudeau says he has had an ?excellent conversation? with Donald Trump at his Mar-a-Lago club following the US president-elect...
Canadian Politics,negative,Trudeau faces political crisis as Chrystia Freeland resigns,"In a letter to Trudeau, Chrystia Freeland said, ?For the last number of weeks, you and I have found ourselves at odds over the best path forward for Canada.?..."
Resignation,negative,"Trudeau prorogues Parliament, resigns as Liberal Party leader",Conservative Leader Pierre Poilievre has repeatedly stated that Trudeau lost government control and repeated calls for an election.
Resignation,negative,"Justin Trudeau: The Good, the Bad, and the Ugly","By quitting, Trudeau might just save the Liberals from an epic electoral disaster."
Resignation,negative,Canada?s PM Justin Trudeau Announces Resignation,The Canadian leader's popularity was seriously damaged by the recent resignation of former Deputy Prime Minister Chrystia Freeland of Toronto.
Personal Life,neutral,Justin Trudeau & Katy Perry: Romance rumours heat up,"Pictures of former Canada PM Justin Trudeau and pop star Katy Perry kissing on a yacht go viral, fueling romance rumours. Read more at straitstimes.com."
Personal Life,neutral,Katy Perry Soft-Launched Justin Trudeau on Instagram,"About six months after she hard-launched into space, Katy Perry soft-launched her relationship with Justin Trudeau in a blink-and-you?ll-miss-it cameo in a vi..."
Personal Life,neutral,Justin Trudeau 'crazy' about 'perfect' Katy Perry,"Justin Trudeau 'crazy' about 'perfect' Katy Perry, sources tell Page Six. The pair were recently seen on their first public date in Paris."
Personal Life,neutral,"Katy Perry, Justin Trudeau Spotted Kissing on Yacht",The popstar and former Canadian Prime Minister appear to have confirmed dating rumours
