title	description	snippet		Typology			Potential Categories	
Trudeau removes himself from the equation	"In announcing his intention to step away now, the prime minister creates two challenges — one for himself and one for his successor."	"On the day he finally conceded to the obvious, Justin Trudeau looked appropriately humbled. For maybe the first time, he looked older. And the affectation that ..."		Resignation				
Katy Perry Reportedly Finds Justin Trudeau ‘Attractive’	"A new report concerning dating rumors surrounding Justin Trudeau and Katy Perry has emerged. It alleges the pair has an ""easy connection."""	"A new report has emerged, offering insight into Justin Trudeau and Katy Perry‘s rumored relationship. The report comes after snaps of the two kissing on a yac..."		Dating Life				
Diplo Trolls Internet With Suspicious Justin Trudeau Selfie	"Diplo shares a selfie with Justin Trudeau and Katy Perry, as a playful jab at his former flame and her new partner."	Diplo‘s playful social media post referencing his ex-girlfriend Katy Perry and Justin Trudeau‘s romance has the internet cracking up. Fans can’t get enoug...		Dating Life				
Is Justin Trudeau about to resign?	"Over the last two weeks, Prime Minister Justin Trudeau has faced new and growing calls to resign. Could he finally step down this week?"	"Is Justin Trudeau about to resign?

Front Burner 23:32 Is Justin Trudeau about to resign?

For the last couple weeks, Prime Minister Justin Trudeau has apparent..."		Resignation				
Canadian Prime Minister Justin Trudeau wins second term	Canadian Prime Minister Justin Trudeau won a second term Monday. Trudeau faced a close race against conservative Andrew Scheer following a series of scandals la...	Canadian Prime Minister Justin Trudeau wins second term Canadian Prime Minister Justin Trudeau won a second term Monday. Trudeau faced a close race against cons...		Canadian Politics				
Canada's PM Justin Trudeau to step down	The embattled prime minister will leave office once a new leader is chosen.	"By David Ljunggren and Ismail Shakil for Reuters

Photo: AFP / Dave Chan

Canadian Prime Minister Justin Trudeau announced on Monday that he intends to step dow..."		Resignation				
"Katy Perry, Justin Trudeau Seen Kissing on Yacht"	Pop star Katy Perry and former Canadian Prime Minister Justin Trudeau were seen engaging in some hot and heavy PDA while on the	Pop star Katy Perry and former Canadian Prime Minister Justin Trudeau were seen engaging in some hot and heavy PDA while on the “I Kissed a Girl” singer’s...		Dating Life				
Trudeau exit shakes up Canadian politics	"OTTAWA - Justin Trudeau is resigning after more than nine years as Canada’s prime minister, bowing to dreadful polls and a rebellion within his governing Libe..."	"Listen to this article

Canadian Prime Minister Justin Trudeau announces he is stepping down as head of the governing Liberal Party, at his residence in Ottawa ..."		Resignation				
Trump Trolls Justin Trudeau After Canadian Finance Minister Resigns	President-elect Donald Trump trolled Canadian Prime Minister Justin Trudeau after Finance Minister Chrystia Freeland resigned.	"President-elect Donald Trump trolled Canada and Canadian Prime Minister Justin Trudeau after the country’s Finance Minister Chrystia Freeland resigned, statin..."		US-Trump Politics				
"Assessing the Trudeau record, real and imagined"	Declining support for the Liberal Party should not be confused with declining support for progressive policies that create communities where all can thrive.	Prime Minister Justin Trudeau announced he was stepping down as Liberal leader on Monday following months of speculation and mounting pressure from colleagues a...		Canadian Politics				
Trudeau reports ‘excellent conversation’ with Trump	Canadian Prime Minister Justin Trudeau says he has had an “excellent conversation” with Donald Trump at his Mar-a-Lago club following the US president-elect...	Canadian Prime Minister Justin Trudeau says he has had an “excellent conversation” with Donald Trump at his Mar-a-Lago club following the US president-elect...		US-Trump Politics				
Trudeau faces political crisis as Chrystia Freeland resigns	"In a letter to Trudeau, Chrystia Freeland said, “For the last number of weeks, you and I have found ourselves at odds over the best path forward for Canada.?..."	"On 16th December, the Finance Minister of Canada, Chrystia Freeland, resigned from her post following a clash with Canadian Prime Minister Justin Trudeau over s..."		Canadian Politics				
"Trudeau prorogues Parliament, resigns as Liberal Party leader"	Conservative Leader Pierre Poilievre has repeatedly stated that Trudeau lost government control and repeated calls for an election.	"Justin Trudeau announced on Monday that he has decided to resign as prime minister and the leader of the Liberal Party following a leadership contest, ending ra..."		Canadian Politics				
"Justin Trudeau: The Good, the Bad, and the Ugly"	"By quitting, Trudeau might just save the Liberals from an epic electoral disaster."	"Justin Trudeau has resigned as leader of the Liberal Party of Canada. So this is a good time to look back at the good, the bad and the ugly of his legacy. The g..."		Canadian Politics				
Canada’s PM Justin Trudeau Announces Resignation	The Canadian leader's popularity was seriously damaged by the recent resignation of former Deputy Prime Minister Chrystia Freeland of Toronto.	"Photo Credit: Sydney Phoenix/US Department of Defense.

Canada’s Prime Minister Justin Trudeau announced his resignation Monday morning (local Ottawa time) in..."		Canadian Politics				
Justin Trudeau & Katy Perry: Romance rumours heat up	"Pictures of former Canada PM Justin Trudeau and pop star Katy Perry kissing on a yacht go viral, fueling romance rumours. Read more at straitstimes.com."	"Sign up now: Get ST's newsletters delivered to your inbox

Tabloid The Daily Mail said Mr Justin Trudeau and Katy Perry were sailing on her yacht off the coast ..."		Dating Life				
Katy Perry Soft-Launched Justin Trudeau on Instagram	"About six months after she hard-launched into space, Katy Perry soft-launched her relationship with Justin Trudeau in a blink-and-you’ll-miss-it cameo in a vi..."	"Photo-Illustration: Vulture; Photos: Karwai Tang/WireImage, Ludovic Marin/AFP via Getty Images

About six months after her hard launch into space, Katy Perry ha..."		Dating Life				
Justin Trudeau 'crazy' about 'perfect' Katy Perry	"Justin Trudeau 'crazy' about 'perfect' Katy Perry, sources tell Page Six. The pair were recently seen on their first public date in Paris."	"Former Canadian Prime Minister Justin Trudeau has fallen head over heels for pop star Katy Perry.

“He is crazy about her and thinks she is the perfect woman,..."		Dating Life				
"Katy Perry, Justin Trudeau Spotted Kissing on Yacht"	The popstar and former Canadian Prime Minister appear to have confirmed dating rumours	"The two were spotted sharing a kiss aboard Perry’s yacht in Santa Barbara, California. Photos shared by the Daily Mail, reportedly confirmed by an eyewitness,..."		Dating Life				
Trudeau faces frustrated MPs after Chrystia Freeland's shock resignation	Prime Minister Justin Trudeau faced frustrated MPs at a hastily arranged caucus meeting late Monday following Chrystia Freeland's shocking decision to resign f...	"The latest:

At caucus meeting, some Liberal MPs tell PM he has to step down after Chrystia Freeland's shock resignation.

Trudeau says he will take time to ref..."		Canadian Politics				
Trudeau gets smiles with stern speech to President 'Donald'	"Prime Minister Justin Trudeau struck an informal tone on Tuesday, addressing the U.S. president several times as just “Donald” in a speech that was broadcas..."	"Some people found a bit of levity in Prime Minister Justin Trudeau's remarkably stern speech on Tuesday, as he outlined Canada's response to the potentially dev..."		US-Trump Politics				
Trudeau goneburger	"Canadian PM Justin Trudeau is resigning this week, in advance of a no confidence vote in his Government he was going to lose. The majority of his MPs had called..."	"Canadian PM Justin Trudeau is resigning this week, in advance of a no confidence vote in his Government he was going to lose. The majority of his MPs had called..."		Resignation				
Katy Perry Spotted With Justin Trudeau	"Katy Perry was seen dining and bar-hopping in Montreal with Justin Trudeau, sparking dating rumors just weeks after her split from Orlando Bloom. Here’s every..."	"Katy Perry’s latest dinner date is setting off international headlines, and no, it’s not another award show red carpet. The pop star was spotted dining with..."		Dating Life				
