title	description	snippet		Typology			Potential Categories	
"Katy Perry, Justin Trudeau seen holding hands leaving Paris club"	The pair's public appearance on the pop singer's 41st birthday has added fuel to growing speculation the two are in a relationship.	"Katy Perry and former Canadian prime minister Justin Trudeau have made a public appearance in Paris on the pop singer's birthday, adding to growing speculation ..."		Dating Life				
Explainer: Why Canada's Justin Trudeau Is Under Pressure To Quit	Canadian Liberal Prime Minister Justin Trudeau is under increasing pressure to quit after Finance Minister Chrystia Freeland resigned over a policy clash on Mon...	Canadian Liberal Prime Minister Justin Trudeau is under increasing pressure to quit after Finance Minister Chrystia Freeland resigned over a policy clash on Mon...		Resignation				
What We Know About The Katy Perry-Justin Trudeau Dating Rumors	Rumors the pop star and ex-Canadian prime minister are dating heated up in recent days after pictures surfaced of the pair kissing and Perry dropped possible hi...	"Topline Singer Katy Perry and ex-Canadian Prime Minister Justin Trudeau have sparked speculation in recent weeks that they may be in a romantic relationship, an..."		Dating Life				
Canadian Prime Minister Justin Trudeau announces plan to resign	"Justin Trudeau will end his nine years in power, following increasing pressure from his own party to step down."	"Canadian Prime Minister Justin Trudeau has announced plans to resign following increasing pressure from his own party to step down.

Mr Trudeau said his resigna..."		Resignation				
Katy Perry ‘Likes’ Post Spoofing Her Romance With Justin Trudeau	Katy Perry dropped a 'like' on a parody post from 'The Onion' about her romance with former Canadian Prime Minister Justin Trudeau	"Katy Perry dropped a subtle hint that she can take a joke about her budding romance with Justin Trudeau.

The pop star, 40, recently left a “like” on an Ins..."		Dating Life				
Justin Trudeau Attends Katy Perry’s Lifetimes Tour Amid Dating Rumors	"Justin Trudeau attended Katy Perry’s ﻿Lifetimes Tour in Montreal, Canada on July 30. Trudeau also brought his daughter, ﻿Ella-Grace, to the concert."	"THE RUNDOWN

Justin Trudeau attended Katy Perry’s Lifetimes Tour in Montreal, Canada, on July 30.



Trudeau also brought his daughter, Ella-Grace, to the con..."		Dating Life				
Trudeau announces stepping down as Canada’s prime minister	He added that he is proud to have served Canada and its people	"OTTAWA, March 13. /TASS/. Canadian Prime Minister Justin Trudeau has announced that March 13 will become his last day in office.

""This may be my last day here,..."		Resignation				
Trudeau plans on stacking Senate before retiring: source	"Prime Minister Justin Trudeau is planning a final wave of appointments to fill the 10 vacancies in the Senate before he retires in March, Radio-Canada has learn..."	"Prime Minister Justin Trudeau is planning a final wave of appointments to fill the 10 vacancies in the Senate before he retires in March, Radio-Canada has learn..."		Canadian Politics				
Justin Trudeau says he'll resign as prime minister of Canada	"The development comes a month after Canada's deputy prime minister, Chrystia Freeland, resigned suddenly from Trudeau's cabinet."	"Trudeau, 53, began serving as the 23rd prime minister of Canada in 2015.

Canadian Prime Minister Justin Trudeau has announced he intends to resign as Liberal P..."		Resignation				
Justin Trudeau announces he will resign as Canada's Prime Minister	Canadian Prime Minister Justin Trudeau has announced he will step down as leader of the ruling Liberals after nine years in office but will stay on in his post ...	"Key Points Canadian Prime Minister Justin Trudeau has resigned as leader of the Liberals.

He had been under pressure to quit amid polls showing the party will ..."		Resignation				
"Justin Trudeau Exits Parliament Race, Ending His Political Career for Now"	Radical leftist Prime Minister of Canada Justin Trudeau confirmed on Wednesday that he would not be running for a seat in Parliament.	"Radical leftist Prime Minister of Canada Justin Trudeau confirmed on Wednesday that he would not be running for a seat in Parliament during the election cycle, ..."		Resignation				
"Major reshuffle as Trudeau faces party pressure, Trump taunts"	"Canadian Prime Minister Justin Trudeau on Friday shook up his cabinet, changing one-third of his team as political turmoil threatens his leadership and tensions..."	"By Michel COMTE

Canadian Prime Minister Justin Trudeau on Friday shook up his cabinet, changing one-third of his team as political turmoil threatens his leader..."		US-Trump Politics				
Trudeau announces his resignation as Prime Minister of Canada	Justin Trudeau announced Monday his resignation as Prime Minister of Canada after nine years in office. His stepping down would become effective once the Libera...	"Trudeau announces his resignation as Prime Minister of Canada

6th Monday, January 2025 - 20:27 UTC Full article

Trudeau will remain as caretaker Prime Ministe..."		Resignation				
