title,description,Typology,Potential Categories
Trudeau faces frustrated MPs after Chrystia Freeland's shock resignation,Prime Minister Justin Trudeau faced frustrated MPs at a hastilyÿarranged caucus meeting late Monday following Chrystia Freeland's shocking decision to resign f...,Canadian Politics,
Trudeau gets smiles with stern speech to President 'Donald',"Prime Minister Justin Trudeau struck an informal tone on Tuesday, addressing the U.S. president several times as just ?Donald? in a speech that was broadcas...",US Relations,
Trudeau goneburger,"Canadian PM Justin Trudeau is resigning this week, in advance of a no confidence vote in his Government he was going to lose. The majority of his MPs had called...",Resignation,
Katy Perry Spotted With Justin Trudeau,"Katy Perry was seen dining and bar-hopping in Montreal with Justin Trudeau, sparking dating rumors just weeks after her split from Orlando Bloom. Here?s every...",Personal Life,
Trump Trudeau Dinner: Did Trump make Trudeau spend the night at a hotel? Here's the truth behind viral X post,US News: An X post that claimed that Donald Trump did not ask Justin Trudeau to stay at Mar-a-Lago at night after their dinner went viral with social media use,US Relations,
Why's Trudeau Sticking Out His Tongue?,Canada's outgoing Prime Minister Justin Trudeau carries his chair from the House of Commons on Parliament Hill in Ottawa.,Canadian Politics,
Justin Trudeau Attends Katy Perry Concert in Montreal,Justin Trudeau attended Katy Perry?s Montreal concert ? 2 days after being spotted having dinner and cozy drinks together.,Personal Life,
When will Canada hear from Justin Trudeau?,Trudeau leaves Canada in suspense as anxious Liberals urge him to go.,Canadian Politics,
"Maybe Canadians were the problem, not Trudeau",Canada has struggled to address key challenges for nearly a generation. This failure was bipartisan and it stems from stems from Canadians simply not wanting to...,Canadian Politics,
Canadian 'Governor' Trudeau Mocked After Announcing Plans to Resign,Americans soundly mocked Canadian Prime Minister Justin Trudeau on Monday after he announced plans to resign his post.,Resignation,
Trudeau spotted at Katy Perry concert days Montreal date,"Justin Trudeau was spotted in the crowd at Katy Perry?s concert in Montreal, days after duo dined together in the city.",Personal Life,
Justin Trudeau & Katy Perry ?Value Connections? ? Report,Sources close to Katy Perry have claimed that the singer is currently 'in a great place' with respect to her romance with Justin Trudeau.,Personal Life,
Sophie Gr‚goire Trudeau: All about the estranged wife of former Canadian PM caught in the middle of Justin Trudeau-Katy Perry romance,"Canadian Prime Minister Justin Trudeau's rumored romance with Katy Perry is gaining traction, with the pair recently vacationing together. This comes",Personal Life,
"Katy Perry & Justin Trudeau Click Really Well, Says ?Source?","Katy Perry and Justin Trudeau, who recently enjoyed a dinner night in Montreal, reportedly like ""chatting"" with one another.",Personal Life,
Katy Perry Jokes About Englishmen Amid Justin Trudeau Romance,"Katy Perry seemingly teased her romance with Justin Trudeau during her London concert, joking about her history with Englishmen and moving on",Personal Life,
Trudeau on the brink after chaotic day in Ottawa,Canada's politics were thrown into chaos after the sudden exit of the country's finance minister.,Canadian Politics,
Treasury Secretary Scott Bessent: Justin Trudeau Is a ?Numbskull?,"Secretary of the Treasury Scott Bessent called Canadian Prime Minister Justin Trudeau a ""numbskull"" on Thursday, in response toÿTrudeau declaring Canada will c...",Canadian Politics,
Canada will never join US ? Trudeau,US President Donald Trump has repeatedly suggested incorporating Canada as the 51st state,US Relations,
Quebec Liberal caucus wants Trudeau to resign: sources,"Quebec MPs are adding to the pressure on Prime Minister Justin Trudeau to step aside as leader. The province's caucus chair, St‚phane Lauzon, consulted with MP...",Canadian Politics,
Trudeau slams Trump's tariffs as stocks plunge,Canadian Prime Minister Justin Trudeau is calling out President Trump's tariffs levied. This comes as the stock markets show signs of panic among investors over...,US Relations,
