title	description	snippet
Trudeau says Ukraine must be included in negotiations after exclusion from U.S.-Russia talks	Justin Trudeau says it's essential that Ukraine be included in peace negotiations after U.S. and Russian officials met to start discussing a possible end to the...	Prime Minister Justin Trudeau says it's essential that Ukraine be included in peace negotiations after U.S. and Russian officials met to start discussing a poss...
Trudeau pledges to help Toronto’s struggling Santa Claus parade	Toronto’s Santa Claus parade says “growing inflationary and operational costs” have put the future of the parade in jeopardy.	Toronto’s Santa Claus parade is gearing up to celebrate its 120th anniversary, but the organization says “growing inflationary and operational costs” have...
Canada Liberals to elect new leader to replace Trudeau	Canada’s governing Liberals will announce a replacement for Prime Minister Justin Trudeau as the country deals with US President Donald Trump’s tariff threa...	Canada’s governing Liberals will announce a replacement for Prime Minister Justin Trudeau as the country deals with US President Donald Trump’s tariff threa...
'It's in his DNA...': What insiders say about ex-Canada PM Justin Trudeau, Katy Perry's romance	"One Canadian insider suggested the relationship reflects Trudeau’s desire for fun and freedom after years in politics. ""He’s no longer carrying the weight o..."	"One Canadian insider suggested the relationship reflects Trudeau’s desire for fun and freedom after years in politics. ""He’s no longer carrying the weight o..."
President Trump and Justin Trudeau hold call about Ukraine, border security after weeks of tension	President Donald Trump spoke with Canadian Prime Minister Justin Trudeau Saturday about the 4 Nations Face-Off hockey tournament and the war in Ukraine.	President Donald Trump spoke with Canadian Prime Minister Justin Trudeau Saturday about a variety of issues, ranging from the war in Ukraine to U.S. border secu...
EWC, Canada ETFs Rise Amid Trudeau Resignation	After nearly a decade as prime minister, Justin Trudeau will step down when a new Liberal Party leader is chosen.	"Canada Investing - Canadian Flag and Stocks

The iShares MSCI Canada ETF (EWC) rose 0.6% Monday as Canadian Prime Minister Justin Trudeau announced at a press c..."
Canada’s Trudeau urges US consumers to consider the harm of Trump’s tariff threats	Canadian Prime Minister Justin Trudeau has suggested that President-elect Donald Trump’s remarks about Canada becoming America’s “51st state” is distrac...	VANCOUVER, British Columbia (AP) — Canada’s outgoing Prime Minister Justin Trudeau on Sunday suggested that President-elect Donald Trump’s remarks about C...
Canada’s Trudeau urges U.S. consumers to consider the harm of Trump’s tariff threats	Outgoing Canadian PM Trudeau addresses Trump's tariff threats, emphasizing potential harm to U.S. consumers and trade relationship with Canada.	Canada’s outgoing Prime Minister Justin Trudeau on Sunday (January 12, 2025) suggested that President-elect Donald Trump’s remarks about Canada becoming Ame...
Trudeau cabinet retreat planned for Trump inauguration day - National	Trudeau's office says a cabinet retreat has been set for Jan. 20 and 21 to talk about defending Canadian interests in the face of Trump's tariff threat.	"Send this page to someone via email

Prime Minister Justin Trudeau and the federal cabinet are set to gather near the nation’s capital next week as Donald Tru..."
Katy Perry Makes Cheeky Comment About Justin Trudeau Romance	Katy Perry seemingly addressed her and former Canadian Prime Minister Justin Trudeau’s blossoming romance during her Lifetimes Tour concert stop in London.	"Watch : Katy Perry and Justin Trudeau Enjoy PDA-Filled Yacht Excursion

Katy Perry has turned her sights towards new shores.

After pictures of the “Dark Hors..."
Who could replace Trudeau as Canadian prime minister, with Trump threatening tariffs?	There are several contenders to be the next Labor Party leader after Canadian Prime Minister Justin Trudeau announced his upcoming resignation.	Canada's Justin Trudeau announced his resignation as prime minister Monday, with his Liberal Party in turmoil amid declining poll numbers and an election on the...
Trudeau in Peru for APEC meeting as leaders seek to reinforce multilateralism	OTTAWA — Prime Minister Justin Trudeau is in Peru, kicking off five days of meetings with leaders from around the globe as the world braces for the looming re...	OTTAWA — Prime Minister Justin Trudeau is in Peru, kicking off five days of meetings with leaders from around the globe as the world braces for the looming re...
Trudeau in Peru for APEC meeting at a time of waning globilization	Prime Minister Justin Trudeau is in Peru, kicking off five days of meetings with leaders from around the globe as the world braces for the looming return of U.S...	Prime Minister Justin Trudeau is in Peru, kicking off five days of meetings with leaders from around the globe as the world braces for the looming return of U.S...
