title	description	snippet
Did Trump’s win, call for US-Canada merger prompt PM resignation? Trudeau responds	US News: Canadian Prime Minister Justin Trudeau stated that President-elect Donald Trump’s talk of annexing Canada is a distraction from his proposed tariffs ...	"'A snowball's chance in hell,' Trudeau had responded to Trump's US-Canada merger earlier. (AP photo)

Trudeau responds to Trump needling him about annexing Cana..."
Justin Trudeau Thought Kissing Katy Perry Was a ‘Private’ Moment, According to Source	"A source claimed that Justin Trudeau thought kissing Katy Perry was a ""private"" moment. Another suspected the singer ""staged"" the PDA photos."	Photos of Justin Trudeau kissing Katy Perry recently became the hot topic of discussion. Last week, the duo was spotted sharing a PDA moment on a luxury yacht. ...
Justin Trudeau spotted at Katy Perry's concert after dinner date; fuels romance rumours - WATCH	Former Canadian PM Justin Trudeau was spotted at Katy Perry's concert, intensifying romance rumors after their dinner date. Fans are buzzing about their recent ...	"Dinner and Drinks



Personal Lives

Just a day after former Canadian Prime Minister Justin Trudeau and pop star Katy Perry set tongues wagging with their intim..."
Trudeau heads to Europe to shore up alliances in face of Trump threats	Prime Minister Justin Trudeau will try to strengthen Canada’s trade and security ties over the next five days with European allies also facing threats from U....	Prime Minister Justin Trudeau will try to strengthen Canada's trade and security ties over the next five days with European allies also facing threats from U.S....
Trudeau meets with King Charles to discuss 'matters of importance to Canada'	Prime Minister Justin Trudeau met with King Charles on Monday to discuss	"Prime Minister Justin Trudeau met with King Charles on Monday to discuss ""matters of importance to Canada and to Canadians."" The meeting comes as questions swir..."
BREAKING NEWS: Canadian PM Trudeau says he will resign	"BREAKING NEWS: Canadian PM Trudeau says he will resign
								==Kyodo"	"KYODO NEWS - 38 minutes ago - 01:12 | Others

BREAKING NEWS: Canadian PM Trudeau says he will resign

==Kyodo"
Trudeau says he’s ‘proud of Canadians’ in video posted on his last day in office	Prime Minister Justin Trudeau issued a farewell message to Canadians today as he marks his last full day in office. In a video posted to X, Trudeau says he’s ...	"Prime Minister Justin Trudeau issued a farewell message to Canadians today as he marks his last full day in office.

In a video posted to X, Trudeau says he’s..."
After Trump’s ‘Governor’ jibe, 'feminist' Trudeau calls Kamala Harris loss ‘attack on women’s progress’	US News: Prime Minister Justin Trudeau criticizes the recent US political developments as setbacks for gender equality and Canadian-American relations, citing K...	Prime Minister Justin Trudeau has criticised recent political developments in the US, describing them as setbacks for both gender equality and Canadian-American...
‘Geek’ Justin Trudeau in Disbelief ‘Famous’ Katy Perry Is Interested in Him, Source Claims	Katy Perry and Justin Trudeau are reportedly constantly communicating with one another amid their yacht photos going viral.	Katy Perry and Justin Trudeau seem to have confirmed their romance, as per new reports. The two sparked dating rumors following their dinner outing in Montreal....
Former Canadian Prime Minister Justin Trudeau has dinner with singer Katy Perry in Montreal	Former Canadian Prime Minister Justin Trudeau and Katy Perry have sparked speculation after dining together in Montreal. Neither Trudeau nor Perry's representat...	"MONTREAL (AP) — Former Canadian Prime Minister Justin Trudeau and Katy Perry had dinner together in Montreal this week.

A communications consultant for the r..."
Trudeau says Canada as 51st state is a ‘non-starter,’ vows tariff response - National	'Canada will respond as appropriate in a calibrated but extremely strong way, regardless of what the U.S. moves forward with,' Prime Minister Justin Trudeau sai...	"Send this page to someone via email

Prime Minister Justin Trudeau said that President Donald Trump’s repeated remarks about Canada becoming the 51st U.S. sta..."
Trudeau says he joked about a trade for Vermont or California when Trump raised annexing Canada	Canadian Prime Minister Justin Trudeau said he jokingly suggested a trade for Vermont or California in response to President-elect Donald Trump's signaling an i...	Canadian Prime Minister Justin Trudeau said he jokingly suggested a trade for Vermont or California in response to President-elect Donald Trump's signaling an i...
Trump, Trudeau to meet at Mar-a-Lago amid tariff threats	The expected meeting comes after Trump threatened sweeping 25% tariffs on goods from Mexico and Canada.	Canadian Prime Minister Justin Trudeau is in Florida at Mar-a-Lago and is expected to meet with President-elect Donald Trump tonight, according to multiple sour...
Katy Perry, Justin Trudeau dine together in Montreal restaurant Le Violon	Breaking News, Sports, Manitoba, Canada	MONTREAL – A Montreal restaurant says Justin Trudeau and pop star Katy Perry dropped by for a “chill” meal together and were “kind and warm” to staff....
Justin Trudeau tries to find a cure for 'inflationitis'	If the challenges posed by inflation were easy to overcome, more governments would have done so by now. Instead, a succession of elections have shown the curren...	"If the political and public policy challenges posed by inflation were easy to overcome, more governments would have done so by now.

Instead, recent elections h..."
Katy Perry & Justin Trudeau Relationship Timeline: Everything That's Happened So Far	Katy Perry & Justin Trudeau Relationship Timeline: Everything That’s Happened So Far Rumors are swirling about Katy Perry and former Canadian Prime Minister J...	"Rumors are swirling about Katy Perry and former Canadian Prime Minister Justin Trudeau.

The 40‑year‑old “Teenage Dream” pop superstar and the 53‑year..."
Can Modi's G7 Canada Visit Smooth Over Ripples from Trudeau Era?	Prime Minister Carney’s invite to Prime Minister Narendra Modi, which saw some pushback from members of the separatist Canadian Sikh diaspora, signals a posit...	New Delhi and Ottawa came to a crescendo for much of 2024, after diplomatic ties went into a tailspin. The political brouhaha and fallout resulted from the time...
King Charles III welcomes Canada’s Trudeau for private talks at royal residence	Britain’s King Charles III has given a warm welcome to Canadian Prime Minister Justin Trudeau as the two met for a private audience at the monarch’s royal r...	LONDON (AP) — Britain’s King Charles III gave a warm welcome to Canadian Prime Minister Justin Trudeau on Monday as the two met for a private audience at th...
Terry Newman: Justin Trudeau to America — we're actually better than you	Trudeau revealed to American Jake Tapper that Canada does, indeed, have a national identity — it's anything America is not	"This advertisement has not loaded yet, but your article continues below.

Terry Newman: Justin Trudeau to America — we're actually better than you Trudeau rev..."
Liberals will choose a new leader. Who are the possible candidates to replace Trudeau?	Top Liberals will soon be lining up for the party's — and country's — top job after Prime Minister Justin Trudeau announced that he will be resigning. ...	"Top Liberals will soon be lining up for the party's — and country's — top job after Prime Minister Justin Trudeau announced that he will be resigning.

Afte..."
Ex-Canadian PM Justin Trudeau, Katy Perry dating? Couple seen kissing, cuddling on yacht, pics surface	Something appears to be brewing between former Canadian Prime Minister Justin Trudeau and American singer Katy Perry as the duo was reportedly spotted kissing a...	Something appears to be brewing between former Canadian Prime Minister Justin Trudeau and American singer Katy Perry as the duo was reportedly spotted kissing a...
Canada's Justin Trudeau Likely To Resign Ahead Of Key Party Meeting This Week, Says Report		Canadian Prime Minister Justin Trudeau is reportedly considering stepping down as leader of the ruling Liberal Party after nine years in office, reported The Hi...
Katy Perry romance puts Justin Trudeau back in a familiar place, the global spotlight	Justin Trudeau's romance with pop star Katy Perry keeps Canada's former prime minister in the global spotlight as their relationship continues to heat up.	"NEW You can now listen to Fox News articles!

Justin Trudeau has never been one to shy away from the spotlight. From his latest romance with pop powerhouse Katy..."
Trudeau meets King Charles as he wraps up London visit - National	Trudeau was in London for a weekend security summit, making Canada the only non-European nation represented in talks on how to ensure a possible Ukraine ceasefi...	"Send this page to someone via email

Prime Minister Justin Trudeau is headed back to Ottawa, after ending his London visit with an audience with King Charles.

..."
Justin Trudeau launches Canada-U.S. council as Trump’s tariff threats loom	Canada-U.S. relations council formed to navigate potential tariffs under President Trump, with industry and political leaders on board.	Outgoing Canadian Prime Minister Justin Trudeau announced Thursday (January 16, 2025) the formation of a Canada-U.S. relations council to support the federal go...
🌟 Katy Perry Spotted Dining with Justin Trudeau in Canada—Dinner, Diplomacy, or Dating Drama?	Pop queen meets political prince? Katy Perry and Justin Trudeau dine in Montreal, sparking buzz over possible sparks. Is it love, diplomacy, or just dessert?	Pop superstar Katy Perry, 40, and former Canadian Prime Minister Justin Trudeau, 53, caused a media stir after enjoying an intimate dinner in Montreal. Were the...
Premiers to meet with Trudeau Wednesday about trade and tariffs, Ford says	Ontario Premier Doug Ford says the country's premiers are meeting virtually Wednesday with the prime minister to discuss the threat of U.S. tariffs on Canadian ...	Ontario Premier Doug Ford says the country's premiers are meeting virtually Wednesday with the prime minister to discuss the threat of U.S. tariffs on Canadian ...
Premiers to meet with Trudeau Wednesday about trade and tariffs, Ford says	It comes two weeks after the premiers' last meeting with Trudeau, where they discussed how to respond Trump's tariff threat.	Ontario Premier Doug Ford says the country’s premiers are meeting virtually Wednesday with the prime minister to discuss the threat of U.S. tariffs on Canadia...
What's next for Justin Trudeau now that some of his own MPs want him gone?	Prime Minister Justin Trudeau faces an acute crisis as a growing number of his own MPs demand that he resign and accuse him of mismanaging his relationship with...	Prime Minister Justin Trudeau faces an acute crisis as a growing number of his own MPs demand that he resign and accuse him of mismanaging his relationship with...
DRAMA IN CANADA: Prime Minister Justin Trudeau May Resign	Sources tell CTV News Prime Minister Justin Trudeau is considering resigning or proroguing parliament and he may address parliament this afternoon.	Sources tell CTV News Prime Minister Justin Trudeau is considering resigning or proroguing parliament and he may address parliament this afternoon.
BREAKING: Trudeau to address Canadians as Liberal caucus pushes him to resign	Prime Minister Justin Trudeau will make an announcement about his future Monday morning at 10:45 a.m. ET.	"This advertisement has not loaded yet, but your article continues below.

BREAKING: Trudeau to address Canadians as Liberal caucus pushes him to resign Trudeau ..."
'Why is US giving Canada $100m a year?' Trump trolls Trudeau again with 51st state joke	US News: Donald Trump has repeatedly teased Canadian Prime Minister Justin Trudeau about making Canada the 51st US state. Trump claims the US subsidizes Canada	"'Governor of the Great State of Canada'



'If US is subsidising Canada then let them become state'



Trump's first joke on Trudeau over making Canada 51st sta..."
Justin Trudeau reportedly says Trump’s talk of making Canada a US state is ‘a real thing’	Prime Minister Justin Trudeau says President Donald Trump’s talk of making Canada the 51st state is “a real thing” and is linked to the country’s rich n...	VANCOUVER, British Columbia (AP) — Prime Minister Justin Trudeau on Friday said President Donald Trump’s talk of making Canada the 51st U.S. state is “a r...
Tasha Kheiriddin: Justin Trudeau goes out blaming and betraying Canadians one more time	His departure was a pathetic exercise in self-pity that will do nothing to heal the divisions he created	"This advertisement has not loaded yet, but your article continues below.

Tasha Kheiriddin: Justin Trudeau goes out blaming and betraying Canadians one more tim..."
How Katy Perry Feels After Her Date With Justin Trudeau: It’s ‘Uncharted Territory’	Katy Perry and Justin Trudeau were secretly in touch for a month leading up to their Montreal outing. Sources explain how Perry feels now about dating.	"THE RUNDOWN

One week after Katy Perry and Justin Trudeau’s date, a source told Us Weekly that there is romantic potential between them.

The source detailed ..."
Poilievre pressed on his RCMP 'despicable' comments, denies saying Trudeau should have been jailed	The fallout over Conservative Leader Pierre Poilievre's comments about the RCMP and its leadership continued Wednesday as he sought to recast his assertion that...	The fallout over Conservative Leader Pierre Poilievre's comments about the RCMP and its leadership continued Wednesday as he sought to recast his assertion that...
Assembly of First Nations takes Trudeau to task over racism, rights and reconciliation	Prime Minister Justin Trudeau was pressed on everything from racism in policing, broken promises from 2015 and a lack of consultation on key pieces of proposed ...	Grieving mothers whose children were killed by police made emotional pleas for the prime minister to act on Thursday, as Justin Trudeau found himself on the def...
Katy Perry Caught On Camera Kissing Justin Trudeau — And That’s Not Even The Weirdest Part	“This wasn’t on my 2025 bingo card,” one social media user said of photos of the pop star and the former Canadian prime minister canoodling on a yacht.	"LOADING ERROR LOADING

It seems someone took the “Teenage Dream” lyric, “I’ma get your heart racing in my skin-tight jeans,” a little too seriously.

..."
Justin Trudeau spotted at Katy Perry’s ‘Lifetimes’ tour after sparking romance rumors with dinner date	Justin Trudeau was spotted front and center at Katy Perry's sold-out	"8 Justin Trudeau was spotted front and center at Katy Perry’s sold-out “Lifetimes” tour in Canada. TikTok / @avocado6713

He’s living out his Teenage Dr..."
Canada PM Justin Trudeau blames 'political right' and social media for global 'anti-incumbency movement'	"Canadian Prime Minister Justin Trudeau discussed his recent decision to resign while facing low approval ratings on MSNBC’s “Inside with Jen Psaki"" Sunday."	"Canadian Prime Minister Justin Trudeau argued Sunday that social media and the political right exacerbated ""culture wars and division"" to promote an ""anti-incum..."
Amid calls to resign, here's what Trudeau is doing today	A mid-day adjustment to Trudeau's itinerary was issued by the Prime Minister's Office and notes he will take part in the meeting virtually.	"A mid-day adjustment to Trudeau's itinerary was issued by the Prime Minister's Office and notes he will take part in the meeting virtually

Prime Minister Justi..."
Canada PM Trudeau prepares retaliation as Trump’s tariff threat looms	US News: Canadian Prime Minister Justin Trudeau is ready to take a strong stance against potential US tariffs, emphasizing a shared national response to avoid	"Justin Trudeau (File photo, AP)

Premiers meet with Trudeau in Ottawa to plan response to Trump's tariff threat

Canadian Prime Minister Justin Trudeau said on ..."
Is That a Wrap on Katy Perry and Justin Trudeau?	After former Canadian prime minister Justin Trudeau was spotted on a dinner date with Katy Perry last month, things between the rumored couple have reportedly ?...	"Photo-Illustration: by The Cut; Photos: Getty Images

Justin Trudeau’s time as a KatyCat might be coming to an end. Last month, the former prime minister of C..."
Katy Perry and Justin Trudeau Are ‘Interested in Each Other’	Pop star Katy Perry and former Canadian Prime Minister Justin Trudeau sparked romance rumors in July after being seen on what looked like a several dates in Mon...	"THE RUNDOWN

Katy Perry and Justin Trudeau were seen on several outings in Montréal.

Sources say they “have a lot in common.”

There are some challenges t..."
With Trudeau out, India seeks to mend ties with Canada	India on Friday said it hopes to rebuild ties with Canada based on 'mutual trust and sensitivity', blaming the downturn in the relations to the 'licence' that w...	India on Friday said it hopes to rebuild ties with Canada based on 'mutual trust and sensitivity', blaming the downturn in the relations to the 'licence' that w...
Diplo trolls fans with Justin Trudeau selfie after wild dating claim: ‘The one that got away’	Diplo shared a selfie with Justin Trudeau after joking that he dated both him and Katy Perry.	"Diplo is poking fun at his viral joke that he dated both Katy Perry and Justin Trudeau.

The DJ shared a selfie with the former Prime Minister of Canada on Mond..."
